preferred_label,entity_type,source,aliases,AIC,ATC,RXCUI,DDINTER
Minocycline,DRUG,DDInter,Minocycline,,,,DDInter1224
Minocycline (topical),DRUG,DDInter,Minocycline (topical),,,,DDInter1225
Minoxidil,DRUG,DDInter,Minoxidil,,,,DDInter1226
Minoxidil (topical),DRUG,DDInter,Minoxidil (topical),,,,DDInter1227
Mipomersen,DRUG,DDInter,Mipomersen,,,,DDInter1228
Mirabegron,DRUG,DDInter,Mirabegron,,,,DDInter1229
Articaine,DRUG,DDInter,Articaine,,,,DDInter123
Mirtazapine,DRUG,DDInter,Mirtazapine,,,,DDInter1230
Misoprostol,DRUG,DDInter,Misoprostol,,,,DDInter1231
Mitomycin,DRUG,DDInter,Mitomycin,,,,DDInter1232
Mitotane,DRUG,DDInter,Mitotane,,,,DDInter1233
Mitoxantrone,DRUG,DDInter,Mitoxantrone,,,,DDInter1234
Mivacurium,DRUG,DDInter,Mivacurium,,,,DDInter1235
Modafinil,DRUG,DDInter,Modafinil,,,,DDInter1236
Moexipril,DRUG,DDInter,Moexipril,,,,DDInter1237
Mogamulizumab,DRUG,DDInter,Mogamulizumab,,,,DDInter1238
Molindone,DRUG,DDInter,Molindone,,,,DDInter1239
Ascorbic acid,DRUG,DDInter,Ascorbic acid,,,,DDInter124
Monomethyl fumarate,DRUG,DDInter,Monomethyl fumarate,,,,DDInter1240
Monopotassium phosphate,DRUG,DDInter,Monopotassium phosphate,,,,DDInter1241
Montelukast,DRUG,DDInter,Montelukast,,,,DDInter1242
Moricizine,DRUG,DDInter,Moricizine,,,,DDInter1243
Morphine,DRUG,DDInter,Morphine,,,,DDInter1244
Morphine (liposomal),DRUG,DDInter,Morphine (liposomal),,,,DDInter1245
Moxetumomab Pasudotox,DRUG,DDInter,Moxetumomab Pasudotox,,,,DDInter1246
Moxifloxacin,DRUG,DDInter,Moxifloxacin,,,,DDInter1247
Mumps virus strain B level jeryl lynn live antigen,DRUG,DDInter,Mumps virus strain B level jeryl lynn live antigen,,,,DDInter1248
Mupirocin,DRUG,DDInter,Mupirocin,,,,DDInter1249
Asenapine,DRUG,DDInter,Asenapine,,,,DDInter125
Muromonab,DRUG,DDInter,Muromonab,,,,DDInter1250
Mycophenolate mofetil,DRUG,DDInter,Mycophenolate mofetil,,,,DDInter1251
Mycophenolic acid,DRUG,DDInter,Mycophenolic acid,,,,DDInter1252
Nabilone,DRUG,DDInter,Nabilone,,,,DDInter1253
Nabumetone,DRUG,DDInter,Nabumetone,,,,DDInter1254
Nadolol,DRUG,DDInter,Nadolol,,,,DDInter1255
Nafcillin,DRUG,DDInter,Nafcillin,,,,DDInter1256
Nalbuphine,DRUG,DDInter,Nalbuphine,,,,DDInter1257
Naldemedine,DRUG,DDInter,Naldemedine,,,,DDInter1258
Nalidixic acid,DRUG,DDInter,Nalidixic acid,,,,DDInter1259
Asparaginase Erwinia chrysanthemi,DRUG,DDInter,Asparaginase Erwinia chrysanthemi,,,,DDInter126
Nalmefene,DRUG,DDInter,Nalmefene,,,,DDInter1260
Naloxegol,DRUG,DDInter,Naloxegol,,,,DDInter1261
Naloxone,DRUG,DDInter,Naloxone,,,,DDInter1262
Naltrexone,DRUG,DDInter,Naltrexone,,,,DDInter1263
Naphazoline (nasal),DRUG,DDInter,Naphazoline (nasal),,,,DDInter1264
Naphazoline (ophthalmic),DRUG,DDInter,Naphazoline (ophthalmic),,,,DDInter1265
Naproxen,DRUG,DDInter,Naproxen,,,,DDInter1266
Naratriptan,DRUG,DDInter,Naratriptan,,,,DDInter1267
Natalizumab,DRUG,DDInter,Natalizumab,,,,DDInter1268
Nateglinide,DRUG,DDInter,Nateglinide,,,,DDInter1269
