preferred_label,lookup_key,atc_link,atc4,atc4_candidates,atc_exact,atc_candidates,RXCUI,DDINTER,ddinter_similarity
Kalium Iodatum,kalium iodatum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Kalium Muriaticum,kalium muriaticum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Kalium Nitricum,kalium nitricum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Kalium Phosphoricum,kalium phosphoricum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Kalium Sulfuricum,kalium sulfuricum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Kalmia Latifolia,kalmia latifolia,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Kalnacitrato,kalnacitrato,G04BC,G04BC,G04BC,G04BC,G04BC,,,
Ketamina Cloridrato,ketamina,N01AX03,N01AX,N01AX,N01AX03,N01AX03,6130,,
Ketazolam,ketazolam,N05BA10,N05BA,N05BA,N05BA10,N05BA10,28181,,
Ketoconazolo,ketoconazolo,D01AC08,,D01AC|H02CA,,D01AC08|H02CA03,6135,,
Ketoprofene,ketoprofene,M01AE03,,A01AD|M01AE|M02AA,,M01AE03|M02AA10|A01AD11,6142,DDInter1009,0.952381
Ketoprofene Sale Di Lisina,ketoprofene sale di lisina,M01AE03,,A01AD|M01AE|M02AA,,M01AE03|A01AD11|M02AA10,6142,,
Ketorolac Trometamina,ketorolac trometamina,M01AB15,M01AB,M01AB,M01AB15,M01AB15,28200,,
Ketorolac Trometamolo,ketorolac trometamolo,M01AB15,,M01AB|S01BC,,M01AB15|S01BC05,35827,,
Ketotifene,ketotifene,S01GX08,,R06AX|S01GX,,S01GX08|R06AX17,6146,,
Ketotifene Fumarato Acido,ketotifene acido,S01GX08,S01GX,S01GX,S01GX08,S01GX08,6146,,
Kreosotum,kreosotum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
L-Arginina Cloridrato,l-arginina,V03AB,V03AB,V03AB,V03AB,V03AB,,,
L-Carnitina Sale Interno,l-carnitina sale interno,A16AA01,A16AA,A16AA,A16AA01,A16AA01,42955,,
L-Cistina,l-cistina,D11AX,D11AX,D11AX,D11AX,D11AX,,,
L-Lisina,l-lisina,B05BA10,B05BA,B05BA,B05BA10,B05BA10,,,
Labetalolo Cloridrato,labetalolo,C07AG01,C07AG,C07AG,C07AG01,C07AG01,6185,,
Lachesis,lachesis,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Lachnanthes Tinctoria,lachnanthes tinctoria,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Lacidipina,lacidipina,C08CA09,C08CA,C08CA,C08CA09,C08CA09,28382,,
Lacidipine,lacidipine,C08CA09,C08CA,C08CA,C08CA09,C08CA09,28382,,
Lacosamide,lacosamide,N03AX18,N03AX,N03AX,,N03AX18|N03AX03,623400,DDInter1014,1.000000
Lactobacillus Plantarum,lactobacillus plantarum,G01AX14,G01AX,G01AX,,G01AX14|G01AX,,,
Lamium Album,lamium album,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Lamivudina,lamivudina,J05AF05,J05AF,J05AF,J05AF05,J05AF05,68244,,
Lamotrigina,lamotrigina,N03AX09,N03AX,N03AX,N03AX09,N03AX09,28439,,
Lanadelumab,lanadelumab,B06AC05,B06AC,B06AC,B06AC05,B06AC05,2055641,,
Landiololo Cloridrato,landiololo,C07AB14,C07AB,C07AB,C07AB14,C07AB14,2712070,,
Lanreotide,lanreotide,H01CB03,H01CB,H01CB,H01CB03,H01CB03,68092,DDInter1021,1.000000
Lansoprazolo,lansoprazolo,A02BC03,A02BC,A02BC,A02BC03,A02BC03,17128,,
Lantanio Carbonato Idrato,lantanio carbonato,V03AE03,V03AE,V03AE,V03AE03,V03AE03,,,
Lapatinib,lapatinib,L01EH01,L01EH,L01EH,L01EH01,L01EH01,480167,DDInter1024,1.000000
Laronidasi,laronidasi,A16AB05,A16AB,A16AB,A16AB05,A16AB05,392509,,
Larotrectinib Solfato,larotrectinib,L01EX12,L01EX,L01EX,L01EX12,L01EX12,2105628,DDInter1026,1.000000
Lasmiditan,lasmiditan,N02CC,N02CC,N02CC,,N02CC|N02CC08,2256930,DDInter1027,1.000000
Latanoprost,latanoprost,S01EE01,S01EE,S01EE,S01EE01,S01EE01,43611,DDInter1028,1.000000
Lattitolo,lattitolo,A06AD12,A06AD,A06AD,A06AD12,A06AD12,28395,,
Lattulosio,lattulosio,A06AD11,,A06AD|V03AB,,A06AD11|V03AB,,,
Laurocerasus,laurocerasus,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Lavanda Essenza,lavanda essenza,N05BX,N05BX,N05BX,,N05BX|N05BX05,,,
Lazertinib,lazertinib,L01EB09,L01EB,L01EB,L01EB09,L01EB09,2691150,,
Lebrikizumab,lebrikizumab,D11AH,D11AH,D11AH,D11AH,D11AH,2693758,,
Lecanemab,lecanemab,N06DX04,N06DX,N06DX,N06DX04,N06DX04,2626143,,
Ledum Palustre,ledum palustre,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Lefamulin,lefamulin,J01XX12,J01XX,J01XX,J01XX12,J01XX12,2198944,DDInter1032,1.000000
Leflunomide,leflunomide,L04AK01,L04AK,L04AK,L04AK01,L04AK01,27169,DDInter1033,1.000000
Legamenti Articolazione Ginocchio,legamenti articolazione ginocchio,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Lenacapavir,lenacapavir,J05AX31,J05AX,J05AX,J05AX31,J05AX31,2625651,,
Lenalidomide,lenalidomide,L04AX04,L04AX,L04AX,L04AX04,L04AX04,342369,DDInter1035,1.000000
Lenvatinib,lenvatinib,L01EX08,L01EX,L01EX,L01EX08,L01EX08,1603296,DDInter1036,1.000000
Leptandra Virginica,leptandra virginica,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Lercanidipina,lercanidipina,C08CA13,C08CA,C08CA,,C08CA13|C08CA,135056,,
Letermovir,letermovir,J05AX18,J05AX,J05AX,J05AX18,J05AX18,1988648,DDInter1039,1.000000
Letrozolo,letrozolo,L02BG04,L02BG,L02BG,L02BG04,L02BG04,72965,,
Leucina,leucina,B05BA01,B05BA,B05BA,B05BA01,B05BA01,,,
Leuprorelina,leuprorelina,L02AE02,L02AE,L02AE,L02AE02,L02AE02,42375,,
Levacetilleucina,levacetilleucina,N07XX,N07XX,N07XX,N07XX,N07XX,2375522,,
Levetiracetam,levetiracetam,N03AX14,N03AX,N03AX,N03AX14,N03AX14,114477,DDInter1046,1.000000
Levoacetilcarnitina,levoacetilcarnitina,N06BX12,N06BX,N06BX,N06BX12,N06BX12,,,
Levobunololo Cloridrato,levobunololo,S01ED03,S01ED,S01ED,S01ED03,S01ED03,1813,DDInter1050,0.956522
Levobupivacaina Cloridrato,levobupivacaina,N01BB10,N01BB,N01BB,N01BB10,N01BB10,259453,,
Levocabastina Cloridrato,levocabastina,R01AC02,,R01AC|S01GX,,R01AC02|S01GX02,28627,,
Levocarnitina,levocarnitina,A16AA01,A16AA,A16AA,A16AA01,A16AA01,42955,,
Levocarnitine,levocarnitine,A16AA01,A16AA,A16AA,A16AA01,A16AA01,42955,DDInter1052,1.000000
Levocetirizina Dicloridrato,levocetirizina,R06AE09,R06AE,R06AE,R06AE09,R06AE09,356887,,
Levocetirizine,levocetirizine,R06AE09,R06AE,R06AE,R06AE09,R06AE09,356887,DDInter1053,1.000000
Levocloperastina Fendizoato,levocloperastina fendizoato,R05DB21,R05DB,R05DB,R05DB21,R05DB21,,,
Levodopa,levodopa,N04BA01,N04BA,N04BA,N04BA01,N04BA01,6375,DDInter1054,1.000000
Levodropropizina,levodropropizina,R05DB27,R05DB,R05DB,R05DB27,R05DB27,52014,,
Levofloxacin,levofloxacin,S01AE05,S01AE,S01AE,S01AE05,S01AE05,82122,DDInter1055,1.000000
Levofloxacina,levofloxacina,J01MA12,,J01MA|S01AE,,J01MA12|S01AE05,82122,DDInter1055,0.960000
Levomepromazina,levomepromazina,N05AA02,N05AA,N05AA,N05AA02,N05AA02,6852,,
Levometadone Cloridrato,levometadone,N07BC05,N07BC,N07BC,N07BC05,N07BC05,236913,,
Levonorgestrel,levonorgestrel,G03AD01,,G02BA|G03AD,,G03AD01|G02BA03,6373,DDInter1061,1.000000
Levopropionilcarnitina,levopropionilcarnitina,A16AA01,A16AA,A16AA,A16AA01,A16AA01,,,
Levosimendan,levosimendan,C01CX08,C01CX,C01CX,C01CX08,C01CX08,73107,,
Levosulpiride,levosulpiride,N05AL07,N05AL,N05AL,N05AL07,N05AL07,,,
Levothyroxine Sodium,levothyroxine sodium,H03AA01,H03AA,H03AA,H03AA01,H03AA01,40144,DDInter1064,1.000000
Levotiroxina Sodica,levotiroxina,H03AA01,H03AA,H03AA,H03AA01,H03AA01,10582,,
Lidocaina,lidocaina,N01BB02,,A01AD|D04AB|N01BB|S01HA,,N01BB02|D04AB01|S01HA07|A01AD11,6387,,
Lidocaine,lidocaine,N01BB02,N01BB,N01BB,N01BB02,N01BB02,6387,DDInter1066,1.000000
Lievito Di Birra,lievito di birra,C05AX,C05AX,C05AX,C05AX,C05AX,,,
Lilium Tigrinum,lilium tigrinum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Linaclotide,linaclotide,A06AX04,A06AX,A06AX,A06AX04,A06AX04,1307404,DDInter1069,1.000000
Linagliptin,linagliptin,A10BH05,A10BH,A10BH,A10BH05,A10BH05,1100699,DDInter1070,1.000000
Lincomicina,lincomicina,J01FF02,J01FF,J01FF,J01FF02,J01FF02,6398,,
Linezolid,linezolid,J01XX08,J01XX,J01XX,J01XX08,J01XX08,190376,DDInter1073,1.000000
Linvoseltamab,linvoseltamab,L01FX,L01FX,L01FX,L01FX,L01FX,2719416,,
Linzagolix Colina,linzagolix colina,H01CC04,H01CC,H01CC,H01CC04,H01CC04,2621019,,
Liotironina Sodica,liotironina,H03AA02,H03AA,H03AA,H03AA02,H03AA02,10814,,
Lipegfilgrastim,lipegfilgrastim,L03AA14,L03AA,L03AA,L03AA14,L03AA14,1440046,,
Liraglutide,liraglutide,A10BJ02,A10BJ,A10BJ,A10BJ02,A10BJ02,475968,DDInter1077,1.000000
Lisato Batterico Polivalente,lisato batterico polivalente,J07AX,J07AX,J07AX,J07AX,J07AX,,,
Lisdexamfetamine,lisdexamfetamine,N06BA12,N06BA,N06BA,N06BA12,N06BA12,700810,DDInter1078,1.000000
Lisina Acetilsalicilato,lisina acetilsalicilato,B01AC06,,B01AC|N02BA,,B01AC06|N02BA01,1191,,
Lisinopril,lisinopril,C09AA03,C09AA,C09AA,C09AA03,C09AA03,29046,DDInter1079,1.000000
Lisocabtagene Maraleucel,lisocabtagene maraleucel,L01,,,L01,L01,,DDInter1080,1.000000
Lisozima Cloridrato,lisozima,A09AA,,A09AA|J05AX,,A09AA|J05AX02,,,
Litio,litio,N05AN01,N05AN,N05AN,N05AN01,N05AN01,,,
Litio Carbonato,litio carbonato,N05AN01,N05AN,N05AN,N05AN01,N05AN01,,,
Lobelia Inflata,lobelia inflata,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Lomitapide,lomitapide,C10AX12,C10AX,C10AX,C10AX12,C10AX12,1364479,DDInter1085,1.000000
Lonafarnib,lonafarnib,A16AX20,A16AX,A16AX,A16AX20,A16AX20,2467553,DDInter1087,1.000000
Lonapegsomatropin,lonapegsomatropin,H01AC,H01AC,H01AC,,H01AC|H01AC09,2569562,,
Loncastuximab Tesirine,loncastuximab tesirine,L01FX22,L01FX,L01FX,L01FX22,L01FX22,2540964,,
Lonoctogoc Alfa,lonoctogoc alfa,B02BD02,B02BD,B02BD,B02BD02,B02BD02,1796377,,
Loperamide,loperamide,A07DA03,A07DA,A07DA,A07DA03,A07DA03,6468,DDInter1088,1.000000
Loratadina,loratadina,R06AX13,R06AX,R06AX,R06AX13,R06AX13,28889,,
Lorazepam,lorazepam,N05BA06,N05BA,N05BA,N05BA06,N05BA06,6470,DDInter1092,1.000000
Lorlatinib,lorlatinib,L01ED05,L01ED,L01ED,L01ED05,L01ED05,2103164,DDInter1094,1.000000
Lormetazepam,lormetazepam,N05CD06,N05CD,N05CD,N05CD06,N05CD06,28894,,
Losartan,losartan,C09CA01,C09CA,C09CA,C09CA01,C09CA01,52175,DDInter1095,1.000000
Loteprendololo Etabonato,loteprendololo etabonato,S01BA14,S01BA,S01BA,S01BA14,S01BA14,,,
Lovastatina,lovastatina,C10AA02,C10AA,C10AA,C10AA02,C10AA02,6472,DDInter1098,0.952381
Loxapina,loxapina,N05AH01,N05AH,N05AH,N05AH01,N05AH01,6475,,
Luesinum,luesinum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Lumasiran,lumasiran,A16AX18,A16AX,A16AX,A16AX18,A16AX18,2467140,,
Lurasidone,lurasidone,N05AE05,N05AE,N05AE,N05AE05,N05AE05,1040028,DDInter1104,1.000000
Luspatercept,luspatercept,B03XA06,B03XA,B03XA,B03XA06,B03XA06,2262544,,
Lutezio (177 Lu) Cloruro,lutezio (177 lu) cloruro,V10X,,,V10X,V10X,,,
Lutezio (177Lu) Oxodotreotide,lutezio (177lu) oxodotreotide,V10XX04,V10XX,V10XX,V10XX04,V10XX04,1999335,,
Lutezio (177Lu) Vipivotide Tetraxetan,lutezio (177lu) vipivotide tetraxetan,V10XX05,V10XX,V10XX,V10XX05,V10XX05,2597053,,
Lutropina Alfa,lutropina alfa,G03GA07,G03GA,G03GA,G03GA07,G03GA07,388084,,
Lycopodium Clavatum,lycopodium clavatum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Lycopus Virginicus,lycopus virginicus,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Macimorelina,macimorelina,V04CD06,V04CD,V04CD,V04CD06,V04CD06,1999420,DDInter1110,0.956522
Macitentan,macitentan,C02KX04,C02KX,C02KX,C02KX04,C02KX04,1442132,DDInter1111,1.000000
Macrogol,macrogol,A06AD15,A06AD,A06AD,,A06AD15|A06AD65,8516,,
Magaldrato,magaldrato,A02AD02,A02AD,A02AD,A02AD02,A02AD02,29151,,
Magnesia Carbonica,magnesia carbonica,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Magnesia Muriatica,magnesia muriatica,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Magnesia Phosphorica,magnesia phosphorica,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Magnesia Sulfurica,magnesia sulfurica,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Magnesio Solfato Eptaidrato,magnesio,B05XA05,B05XA,B05XA,B05XA05,B05XA05,,,
Magnesio Idrossido,magnesio idrossido,A02AA04,A02AA,A02AA,A02AA04,A02AA04,,,
Magnesio Pidolato,magnesio pidolato,A12CC08,A12CC,A12CC,A12CC08,A12CC08,,,
Magnesium Metallicum,magnesium metallicum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Mandragora Officinarum,mandragora officinarum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Manganum Metallicum,manganum metallicum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Manidipina Cloridrato,manidipina,C08CA11,C08CA,C08CA,C08CA11,C08CA11,29275,,
Mannitolo,mannitolo,B05BC01,,B05BC|R05CB,,B05BC01|R05CB16,6628,,
Maprotilina Cloridrato,maprotilina,N06AA21,N06AA,N06AA,N06AA21,N06AA21,6646,,
Maralixibat Cloruro,maralixibat cloruro,A05AX04,A05AX,A05AX,A05AX04,A05AX04,2571074,,
Maraviroc,maraviroc,J05AX09,J05AX,J05AX,J05AX09,J05AX09,620216,DDInter1125,1.000000
Maribavir,maribavir,J05AX10,J05AX,J05AX,J05AX10,J05AX10,2586068,,
Marstacimab,marstacimab,B02BX11,B02BX,B02BX,B02BX11,B02BX11,2697133,,
Mavacamten,mavacamten,C01EB24,C01EB,C01EB,C01EB24,C01EB24,2600867,,
Mebendazolo,mebendazolo,P02CA01,P02CA,P02CA,P02CA01,P02CA01,6672,,
Mebeverina Cloridrato,mebeverina,A03AA04,A03AA,A03AA,A03AA04,A03AA04,29410,,
Mecasermina,mecasermina,H01AC03,H01AC,H01AC,H01AC03,H01AC03,274403,DDInter1131,0.952381
Meclociclina Solfosalicilato,meclociclina solfosalicilato,D06AA,,D06AA|G01AA,,D06AA|G01AA,,,
Medorrhinum,medorrhinum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Medrossiprogesterone Acetato,medrossiprogesterone,G03DA02,,G03DA|L02AB,,G03DA02|L02AB02,6691,,
Meflochina Cloridrato,meflochina,P01BC02,P01BC,P01BC,P01BC02,P01BC02,,,
Megestrolo Acetato,megestrolo,L02AB01,L02AB,L02AB,L02AB01,L02AB01,6703,,
Melatonina,melatonina,N05CH01,,N05CH|V03AX,,N05CH01|V03AX,6711,,
Melfalan,melfalan,L01AA03,L01AA,L01AA,L01AA03,L01AA03,6718,,
Melfalan Flufenamide,melfalan flufenamide,L01AA10,L01AA,L01AA,L01AA10,L01AA10,2531369,,
Melilotus Alba,melilotus alba,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Meloxicam,meloxicam,M01AC06,M01AC,M01AC,M01AC06,M01AC06,41493,DDInter1143,1.000000
Melphalan,melphalan,L01AA03,L01AA,L01AA,L01AA03,L01AA03,6718,DDInter1144,1.000000
Memantina Cloridrato,memantina,N06DX01,N06DX,N06DX,N06DX01,N06DX01,6719,,
Menotropina,menotropina,G03GA02,G03GA,G03GA,G03GA02,G03GA02,,,
Menta Essenza,menta essenza,A03AX15,A03AX,A03AX,A03AX15,A03AX15,,,
Mentha Piperitae Aetheroleum,mentha piperitae aetheroleum,A03AX15,A03AX,A03AX,A03AX15,A03AX15,33094,,
Mentolo,mentolo,D04AX,D04AX,D04AX,D04AX,D04AX,,,
Mepartricina,mepartricina,G04CX03,G04CX,G04CX,G04CX03,G04CX03,,,
Mepivacaina Cloridrato,mepivacaina,N01BB03,N01BB,N01BB,,N01BB03|N01BB53,6759,,
Mepolizumab,mepolizumab,R03DX09,R03DX,R03DX,R03DX09,R03DX09,1720597,,
Mercaptamina,mercaptamina,A16AA04,A16AA,A16AA,A16AA04,A16AA04,3022,,
Mercaptamina Bitartrato,mercaptamina bitartrato,A16AA04,A16AA,A16AA,A16AA04,A16AA04,3022,,
Mercaptobenzotiazolo,mercaptobenzotiazolo,V04CL,V04CL,V04CL,V04CL,V04CL,,,
Mercaptopurina,mercaptopurina,L01BB02,L01BB,L01BB,L01BB02,L01BB02,103,,
Mercurius Corrosivus,mercurius corrosivus,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Mercurius Cyanatus,mercurius cyanatus,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Mercurius Dulcis,mercurius dulcis,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Mercurius Solubilis,mercurius solubilis,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Meropenem,meropenem,J01DH02,J01DH,J01DH,J01DH02,J01DH02,29561,DDInter1157,1.000000
Mertiatide,mertiatide,V09CA03,V09CA,V09CA,V09CA03,V09CA03,,,
Mesalazina,mesalazina,A07EC02,A07EC,A07EC,A07EC02,A07EC02,52582,,
Mesna,mesna,V03AF01,V03AF,V03AF,V03AF01,V03AF01,44,,
Mesoglicano Sodico,mesoglicano,B01AB,B01AB,B01AB,B01AB,B01AB,,,
Metacolina Cloruro,metacolina cloruro,V04CX,V04CX,V04CX,V04CX,V04CX,,,
Metadone Cloridrato,metadone,N07BC02,N07BC,N07BC,N07BC02,N07BC02,6813,,
Metadoxina,metadoxina,N07BB,N07BB,N07BB,N07BB,N07BB,,,
Metamizolo Sodico,metamizolo,N02BB02,N02BB,N02BB,N02BB02,N02BB02,3523,,
Metaraminolo Bitartrato,metaraminolo bitartrato,C01CA09,C01CA,C01CA,C01CA09,C01CA09,6806,,
Metergolina,metergolina,G02CB05,G02CB,G02CB,G02CB05,G02CB05,6834,,
Metformina,metformina,A10BA02,,A10BA|A10BD,,A10BA02|A10BD08|A10BD10|A10BD20,6809,,
Methylprednisolone,methylprednisolone,H02AB04,H02AB,H02AB,H02AB04,H02AB04,6902,DDInter1191,1.000000
Metil Aminolevulinato Cloridrato,metil aminolevulinato,L01XD03,L01XD,L01XD,L01XD03,L01XD03,,,
Metildopa,metildopa,C02AB01,C02AB,C02AB,C02AB01,C02AB01,6876,,
Metile Salicilato,metile salicilato,M02AC,M02AC,M02AC,M02AC,M02AC,,,
Metilergometrina Maleato,metilergometrina,G02AB01,G02AB,G02AB,G02AB01,G02AB01,6883,,
Metilfenidato,metilfenidato,N06BA04,N06BA,N06BA,N06BA04,N06BA04,6901,,
Metilnaltrexone,metilnaltrexone,A06AH01,A06AH,A06AH,A06AH01,A06AH01,29899,,
Metilprednisolone,metilprednisolone,H02AB04,H02AB,H02AB,H02AB04,H02AB04,6902,,
Metilprednisolone Aceponato,metilprednisolone aceponato,D07AC14,D07AC,D07AC,D07AC14,D07AC14,62136,,
Metilprednisolone Emisuccinato Sodico,metilprednisolone emisuccinato,H02AB04,H02AB,H02AB,H02AB04,H02AB04,6902,,
Metilprednisolone Idrogeno Succinato Sodico,metilprednisolone idrogeno,H02AB04,H02AB,H02AB,H02AB04,H02AB04,6902,,
Metiltioninio Cloruro,metiltioninio cloruro,V03AB17,,V03AB|V04CX,,V03AB17|V04CX,6878,,
Metirapone,metirapone,V04CD01,V04CD,V04CD,V04CD01,V04CD01,6923,,
Metoclopramide,metoclopramide,A03FA01,A03FA,A03FA,A03FA01,A03FA01,6915,DDInter1197,1.000000
Metolazone,metolazone,C03BA08,C03BA,C03BA,C03BA08,C03BA08,6916,DDInter1199,1.000000
Metoprololo,metoprololo,C07AB02,C07AB,C07AB,C07AB02,C07AB02,6918,DDInter1200,0.952381
Metossipolietilenglicole-Epoetina Beta (Cera),metossipolietilenglicole-epoetina beta (cera),B03XA03,B03XA,B03XA,B03XA03,B03XA03,,,
Metotrexato,metotrexato,L04AX03,,L01BA|L04AX,,L04AX03|L01BA01,6851,,
Metoxalene,metoxalene,L03AX,L03AX,L03AX,L03AX,L03AX,,,
Metoxsalene,metoxsalene,L03AX,,D05BA|L03AX,,L03AX|D05BA02,,,
Metreleptina,metreleptina,A16AA07,A16AA,A16AA,A16AA07,A16AA07,1491625,DDInter1201,0.956522
Metronidazolo,metronidazolo,J01XD01,,D06BX|G01AF|J01XD|P01AB,,J01XD01|D06BX01|P01AB01|G01AF01,6922,,
Mexiletina Cloridrato,mexiletina,C01BB02,C01BB,C01BB,C01BB02,C01BB02,6926,,
Mezereum,mezereum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Mianserina Cloridrato,mianserina,N06AX03,N06AX,N06AX,N06AX03,N06AX03,6929,,
Micafungina,micafungina,J02AX05,J02AX,J02AX,J02AX05,J02AX05,325887,DDInter1208,0.952381
Micofenolato Sodico,micofenolato,L04AA06,L04AA,L04AA,L04AA06,L04AA06,,,
Micofenolato Mofetile,micofenolato mofetile,L04AA06,L04AA,L04AA,L04AA06,L04AA06,,,
Miconazolo,miconazolo,D01AC02,,A01AB|D01AC|G01AF|J02AB,,D01AC02|A01AB09|G01AF04|D01AC|J02AB01,6932,,
Midazolam,midazolam,N05CD08,N05CD,N05CD,N05CD08,N05CD08,6960,DDInter1212,1.000000
Midodrina Cloridrato,midodrina,C01CA17,C01CA,C01CA,C01CA17,C01CA17,6963,,
Midostaurina,midostaurina,L01EX10,L01EX,L01EX,L01EX10,L01EX10,1919083,DDInter1214,0.956522
Mifamurtide,mifamurtide,L03AX15,L03AX,L03AX,L03AX15,L03AX15,,,
Mifepristone,mifepristone,G03XB01,G03XB,G03XB,G03XB01,G03XB01,6964,DDInter1215,1.000000
Migalastat,migalastat,A16AX14,A16AX,A16AX,A16AX14,A16AX14,2054252,DDInter1216,1.000000
Miglustat,miglustat,A16AX06,A16AX,A16AX,A16AX06,A16AX06,402316,DDInter1218,1.000000
Minociclina Dicloridrato,minociclina,J01AA08,J01AA,J01AA,J01AA08,J01AA08,6980,,
Minoxidil,minoxidil,D11AX01,,C02DC|D11AX,,D11AX01|C02DC01,6984,,
Mirabegron,mirabegron,G04BD12,G04BD,G04BD,G04BD12,G04BD12,1300786,DDInter1229,1.000000
Mirdametinib,mirdametinib,L01EE05,L01EE,L01EE,L01EE05,L01EE05,2705551,,
Mirikizumab,mirikizumab,L04AC24,L04AC,L04AC,L04AC24,L04AC24,2668384,,
Mirtazapina,mirtazapina,N06AX11,N06AX,N06AX,N06AX11,N06AX11,15996,,
Mirtillina,mirtillina,C05CA,C05CA,C05CA,C05CA,C05CA,,,
Mirvetuximab Soravtansine,mirvetuximab soravtansine,L01FX26,L01FX,L01FX,L01FX26,L01FX26,2621548,,
Misoprostolo,misoprostolo,G02AD06,,A02BB|G02AD,,G02AD06|A02BB01,42331,DDInter1231,0.956522
Mitapivat,mitapivat,B06AX04,B06AX,B06AX,B06AX04,B06AX04,2594468,,
Mitomicina,mitomicina,L01DC03,L01DC,L01DC,L01DC03,L01DC03,632,,
Mitotano,mitotano,L01XX23,L01XX,L01XX,L01XX23,L01XX23,7004,,
Mitoxantrone Cloridrato,mitoxantrone,L01DB07,L01DB,L01DB,L01DB07,L01DB07,7005,DDInter1234,1.000000
Mivacurio Cloruro,mivacurio cloruro,M03AC10,M03AC,M03AC,M03AC10,M03AC10,30077,,
Mizolastina,mizolastina,R06AX25,R06AX,R06AX,R06AX25,R06AX25,61455,,
Modafinil,modafinil,N06BA07,N06BA,N06BA,N06BA07,N06BA07,30125,DDInter1236,1.000000
Mogamulizumab,mogamulizumab,L01FX09,L01FX,L01FX,L01FX09,L01FX09,2054068,DDInter1238,1.000000
Momelotinib,momelotinib,L01EJ04,L01EJ,L01EJ,L01EJ04,L01EJ04,2665204,,
Mometasone,mometasone,R01AD09,,D07AC|R01AD|R03BA,,R01AD09|D07AC13|R03BA07,108118,,
Momordica Balsamina,momordica balsamina,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Monossido Di Azoto,monossido di azoto,R07AX01,R07AX,R07AX,R07AX01,R07AX01,,,
Montelukast,montelukast,R03DC03,R03DC,R03DC,R03DC03,R03DC03,88249,DDInter1242,1.000000
Morfina Solfato,morfina,N02AA01,N02AA,N02AA,N02AA01,N02AA01,7052,,
Morniflumato,morniflumato,M01AX22,M01AX,M01AX,M01AX22,M01AX22,30225,,
Moroctocog Alfa,moroctocog alfa,B02BD02,B02BD,B02BD,B02BD02,B02BD02,1300485,,
Mosunetuzumab,mosunetuzumab,L01FX25,L01FX,L01FX,L01FX25,L01FX25,2625122,,
Moxifloxacina,moxifloxacina,J01MA14,,J01MA|S01AE,,J01MA14|S01AE07,139462,DDInter1247,0.960000
Moxonidina,moxonidina,C02AC05,C02AC,C02AC,C02AC05,C02AC05,30257,,
Mrna A Singola Elica Con Capping In 5? Che Codifica La Glicoproteina F Del Virus Respiratorio Sinciziale Stabilizzata Nella Conformazione Di Pre-Fusione,mrna a singola elica con capping in 5? che codifica la glicoproteina f del virus respiratorio sinciziale stabilizzata nella conformazione di pre-fusione,J07BX05,J07BX,J07BX,J07BX05,J07BX05,,,
Mrna Che Codifica Per Kp.2,mrna che codifica per kp.2,J07BN01,J07BN,J07BN,J07BN01,J07BN01,2691218,,
Mrna Che Codifica Per Lp.8.1,mrna che codifica per lp.8.1,J07BN01,J07BN,J07BN,J07BN01,J07BN01,2722594,,
Mucosa Gastrica,mucosa gastrica,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Mupirocina,mupirocina,D06AX09,,D06AX|R01AX,,D06AX09|R01AX06,42372,,
Mupirocina Calcica,mupirocina calcica,D06AX09,,D06AX|R01AX,,D06AX09|R01AX06,42372,,
Mycoplasma,mycoplasma,V03AX,V03AX,V03AX,V03AX,V03AX,,,
