preferred_label,lookup_key,atc_link,atc4,atc4_candidates,atc_exact,atc_candidates,RXCUI,DDINTER,ddinter_similarity
Remifentanil Cloridrato,remifentanil,N01AH06,N01AH,N01AH,N01AH06,N01AH06,73032,DDInter1579,1.000000
Remimazolam,remimazolam,N05CD14,N05CD,N05CD,N05CD14,N05CD14,2383941,DDInter1580,1.000000
Rene,rene,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Repaglinide,repaglinide,A10BX02,A10BX,A10BX,A10BX02,A10BX02,73044,DDInter1581,1.000000
Repentina,repentina,G04CX02,G04CX,G04CX,G04CX02,G04CX02,,,
Repotrectinib,repotrectinib,L01EX28,L01EX,L01EX,L01EX28,L01EX28,2670644,,
Resina P-Ter-Butilfenolo Formaldeidica,resina p-ter-butilfenolo formaldeidica,V04CL,V04CL,V04CL,V04CL,V04CL,,,
Reslizumab,reslizumab,R03DX08,R03DX,R03DX,R03DX08,R03DX08,1746889,,
Resmetirom,resmetirom,A05BA11,A05BA,A05BA,A05BA11,A05BA11,2677894,,
Retifanlimab,retifanlimab,L01FF10,L01FF,L01FF,L01FF10,L01FF10,2632981,,
Rezafungin,rezafungin,J02AX08,J02AX,J02AX,J02AX08,J02AX08,2639155,,
Rheum Officinale,rheum officinale,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Ribavirina,ribavirina,J05AP01,J05AP,J05AP,J05AP01,J05AP01,9344,,
Ribociclib,ribociclib,L01EF02,L01EF,L01EF,L01EF02,L01EF02,1873916,DDInter1588,1.000000
Riboflavina,riboflavina,A11JB,,A11BA|A11EA|A11JB|B05XC,,A11JB|A11BA|B05XC|A11EA,,,
Ricinus Communis,ricinus communis,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Rifabutina,rifabutina,J04AB04,J04AB,J04AB,J04AB04,J04AB04,55672,,
Rifamicina Sodica,rifamicina,J04AB03,,A07AA|J04AB,,J04AB03|A07AA13,35616,,
Rifampicina,rifampicina,J04AB02,J04AB,J04AB,J04AB02,J04AB02,9384,DDInter1590,0.952381
