preferred_label,normalized_label,ATC,atc_link
LACOSAMIDE TILLOMED,lacosamide tillomed,N03AX18,N03AX18
LACOSAMIDE UCB,lacosamide ucb,N03AX18,N03AX18
LACOSAMIDE VIVANTA,lacosamide vivanta,N03AX18,N03AX18
LACOSAMIDE ZENTIVA,lacosamide zentiva,N03AX18,N03AX18
LACRILUBE,lacrilube,S01XA20,S01XA20
LACRIMART,lacrimart,S01XA20,S01XA20
LACRINORM,lacrinorm,S01XA20,S01XA20
LACRISOL,lacrisol,S01XA20,S01XA20
LACTEOL,lacteol,A07FA01,A07FA01
LADIP,ladip,C08CA09,C08CA09
LAEVOLAC,laevolac,A06AD11,A06AD11
LAEVOLAC EPS,laevolac eps,V03AB,V03AB
LAILA,laila,N05BX05,N05BX05
LAMERA,lamera,C09DB02,C09DB02
LAMICTAL,lamictal,N03AX09,N03AX09
LAMISIL,lamisil,D01AE,D01AE
LAMIUM ALBUM DYNAMIS,lamium album dynamis,V03AX,V03AX
LAMIVUDINA AUROBINDO,lamivudina aurobindo,J05AF05,J05AF05
LAMIVUDINA AUROBINDO ITALIA,lamivudina aurobindo italia,J05AF05,J05AF05
LAMIVUDINA E ZIDOVUDINA AUROBINDO,lamivudina e zidovudina aurobindo,J05AR01,J05AR01
LAMIVUDINA E ZIDOVUDINA MYLAN,lamivudina e zidovudina mylan,J05AR01,J05AR01
LAMIVUDINA MYLAN,lamivudina mylan,J05AF05,J05AF05
LAMIVUDINA MYLAN PHARMA,lamivudina mylan pharma,J05AF05,J05AF05
LAMIVUDINA TEVA,lamivudina teva,J05AF05,J05AF05
LAMIVUDINA TEVA PHARMA B.V.,lamivudina teva pharma b.v.,J05AF05,J05AF05
LAMOTRIGINA DESITIN,lamotrigina desitin,N03AX09,N03AX09
LAMOTRIGINA DOC,lamotrigina doc,N03AX09,N03AX09
LAMOTRIGINA EG,lamotrigina eg,N03AX09,N03AX09
LAMOTRIGINA SANDOZ,lamotrigina sandoz,N03AX09,N03AX09
LAMPARD,lampard,A11CC05,A11CC05
LAMZEDE,lamzede,A16AB15,A16AB15
LANDIOBLOC,landiobloc,C07AB14,C07AB14
LANETIK,lanetik,C09BA02,C09BA02
LANEX,lanex,C09AA02,C09AA02
LANGIPRAV,langiprav,C10AA03,C10AA03
LANOXIN,lanoxin,C01AA05,C01AA05
LANRENET,lanrenet,H01CB03,H01CB03
LANREOTIDE SUN,lanreotide sun,H01CB03,H01CB03
LANREOTIDE ZENTIVA,lanreotide zentiva,H01CB03,H01CB03
LANSOCEL,lansocel,A02BC03,A02BC03
LANSODOR,lansodor,A02BC03,A02BC03
LANSOPRAZOLO ABC,lansoprazolo abc,A02BC03,A02BC03
LANSOPRAZOLO ALMUS,lansoprazolo almus,A02BC03,A02BC03
LANSOPRAZOLO ALTER,lansoprazolo alter,A02BC03,A02BC03
LANSOPRAZOLO AUROBINDO,lansoprazolo aurobindo,A02BC03,A02BC03
LANSOPRAZOLO DOC,lansoprazolo doc,A02BC03,A02BC03
LANSOPRAZOLO EG,lansoprazolo eg,A02BC03,A02BC03
LANSOPRAZOLO EG STADA,lansoprazolo eg stada,A02BC03,A02BC03
LANSOPRAZOLO FG,lansoprazolo fg,A02BC03,A02BC03
LANSOPRAZOLO HEXAL,lansoprazolo hexal,A02BC03,A02BC03
LANSOPRAZOLO KRKA,lansoprazolo krka,A02BC03,A02BC03
LANSOPRAZOLO LABORATORI ALTER,lansoprazolo laboratori alter,A02BC03,A02BC03
LANSOPRAZOLO MYLAN GENERICS,lansoprazolo mylan generics,A02BC03,A02BC03
LANSOPRAZOLO MYLAN GENERICS ITALIA,lansoprazolo mylan generics italia,A02BC03,A02BC03
LANSOPRAZOLO PENSA,lansoprazolo pensa,A02BC03,A02BC03
LANSOPRAZOLO SANDOZ BV,lansoprazolo sandoz bv,A02BC03,A02BC03
LANSOPRAZOLO SUN,lansoprazolo sun,A02BC03,A02BC03
LANSOPRAZOLO SUN PHARMA,lansoprazolo sun pharma,A02BC03,A02BC03
LANSOPRAZOLO TECNIGEN,lansoprazolo tecnigen,A02BC03,A02BC03
LANSOPRAZOLO TECNIGEN ITALIA,lansoprazolo tecnigen italia,A02BC03,A02BC03
LANSOPRAZOLO TECNIMEDE,lansoprazolo tecnimede,A02BC03,A02BC03
LANSOPRAZOLO TEVA ITALIA,lansoprazolo teva italia,A02BC03,A02BC03
LANSOPRAZOLO ZENTIVA,lansoprazolo zentiva,A02BC03,A02BC03
LANSOX,lansox,A02BC03,A02BC03
LANTANON,lantanon,N06AX03,N06AX03
LANTIGEN B,lantigen b,J07AX,J07AX
LANTUS,lantus,A10AE04,A10AE04
LAOSSIAN,laossian,A10BD07,A10BD07
LAPATINIB EG,lapatinib eg,L01EH01,L01EH01
LAPRYSTA,laprysta,N03AX18,N03AX18
LARGACTIL,largactil,N05AA01,N05AA01
LARIAM,lariam,P01BC02,P01BC02
LAROXYL,laroxyl,N06AA09,N06AA09
LASCA,lasca,G03AA07,G03AA07
LASEA,lasea,N05BX,N05BX
LASER,laser,M01AE02,M01AE02
LASITONE,lasitone,C03EB01,C03EB01
LASIX,lasix,C03CA01,C03CA01
LASIX FIALE,lasix fiale,C03CA01,C03CA01
LASONIL ANTIDOLORE,lasonil antidolore,M02AA13,M02AA13
LASONIL ANTINFIAMMATORIO E ANTIREUMATICO,lasonil antinfiammatorio e antireumatico,M01AE02,M01AE02
LASTAFRY,lastafry,S01EE01,S01EE01
LASTAN,lastan,C09CA01,C09CA01
LASTICOM,lasticom,S01GX07,S01GX07
LATAFIX,latafix,S01ED51,S01ED51
LATANOPROST AUROBINDO,latanoprost aurobindo,S01EE01,S01EE01
LATANOPROST E TIMOLOLO AUROBINDO ITALIA,latanoprost e timololo aurobindo italia,S01ED51,S01ED51
LATANOPROST E TIMOLOLO EG,latanoprost e timololo eg,S01ED51,S01ED51
LATANOPROST E TIMOLOLO PHARMATHEN,latanoprost e timololo pharmathen,S01ED51,S01ED51
LATANOPROST E TIMOLOLO ZENTIVA,latanoprost e timololo zentiva,S01ED51,S01ED51
LATANOPROST EG,latanoprost eg,S01EE01,S01EE01
LATANOPROST MYLAN GENERICS ITALIA,latanoprost mylan generics italia,S01EE01,S01EE01
LATANOPROST PENSA PHARMA,latanoprost pensa pharma,S01EE01,S01EE01
LATANOPROST RATIOPHARM ITALIA,latanoprost ratiopharm italia,S01EE01,S01EE01
LATANOPROST SANDOZ,latanoprost sandoz,S01EE01,S01EE01
LATANOPROST SIFI,latanoprost sifi,S01EE01,S01EE01
LATANOPROST ZENTIVA,latanoprost zentiva,S01EE01,S01EE01
LATANOSTILL,latanostill,S01EE01,S01EE01
LATATIM,latatim,S01ED51,S01ED51
LATAY,latay,S01EE01,S01EE01
LATHYRUS SATIVUS DYNAMIS,lathyrus sativus dynamis,V03AX,V03AX
LATTULAC,lattulac,A06AD11,A06AD11
LATTULAC EPS,lattulac eps,A06AD11,A06AD11
LATTULOSIO ABC,lattulosio abc,A06AD11,A06AD11
LATTULOSIO ALMUS,lattulosio almus,A06AD11,A06AD11
LATTULOSIO ALTER,lattulosio alter,A06AD11,A06AD11
LATTULOSIO AUROBINDO,lattulosio aurobindo,A06AD11,A06AD11
LATTULOSIO COOPER,lattulosio cooper,A06AD11,A06AD11
LATTULOSIO EG,lattulosio eg,A06AD11,A06AD11
LATTULOSIO PENSA,lattulosio pensa,A06AD11,A06AD11
LATTULOSIO SANDOZ,lattulosio sandoz,A06AD11,A06AD11
LATTULOSIO TEVA,lattulosio teva,A06AD11,A06AD11
LATTULOSIO ZENTIVA,lattulosio zentiva,A06AD11,A06AD11
LATUDA,latuda,N05AE05,N05AE05
LAUROCERASUS,laurocerasus,V03AX,V03AX
LAUROCERASUS DYNAMIS,laurocerasus dynamis,V03AX,V03AX
LAUROMICINA,lauromicina,D07CC02,D07CC02
LAVANCAP,lavancap,N05BX05,N05BX05
LAVENTAIR ELLIPTA,laventair ellipta,R03AL03,R03AL03
LAXIDO,laxido,A06AD65,A06AD65
LAXIPEG,laxipeg,A06AD15,A06AD15
LAZAPIR,lazapir,N05AH03,N05AH03
LAZCLUZE,lazcluze,L01EB09,L01EB09
LECIGIMON,lecigimon,N04BA03,N04BA03
LECITHINUM,lecithinum,V03AX,V03AX
LECROSINE,lecrosine,S01GX01,S01GX01
LEDAGA,ledaga,L01AA05,L01AA05
LEDERFOLIN,lederfolin,V03AF04,V03AF04
LEDOREN,ledoren,M01AX17,M01AX17
LEDUM PALUSTRE,ledum palustre,V03AX,V03AX
LEFISYO,lefisyo,N07BC05,N07BC05
LEFLUNOMIDE AUROBINDO,leflunomide aurobindo,L04AK01,L04AK01
LEFLUNOMIDE MEDAC,leflunomide medac,L04AK01,L04AK01
LEFLUNOMIDE MYLAN,leflunomide mylan,L04AK01,L04AK01
LEFLUNOMIDE RATIOPHARM,leflunomide ratiopharm,L04AK01,L04AK01
LEFLUNOMIDE SANDOZ,leflunomide sandoz,L04AK01,L04AK01
LEFLUNOMIDE ZENTIVA,leflunomide zentiva,L04AK01,L04AK01
LEFUNZOL,lefunzol,J02AC01,J02AC01
LEGALON,legalon,A05BA03,A05BA03
LEGAMENTI ARTICOLAZIONE GINOCCHIO,legamenti articolazione ginocchio,V03AX,V03AX
LEMAXIL,lemaxil,J01MA12,J01MA12
LEMNA MINOR DYNAMIS,lemna minor dynamis,V03AX,V03AX
LEMTRADA,lemtrada,L04AG06,L04AG06
LENALIDOMIDE ACCORD,lenalidomide accord,L04AX04,L04AX04
LENALIDOMIDE AUROBINDO,lenalidomide aurobindo,L04AX04,L04AX04
LENALIDOMIDE BIOCON,lenalidomide biocon,L04AX04,L04AX04
LENALIDOMIDE GLENMARK,lenalidomide glenmark,L04AX04,L04AX04
LENALIDOMIDE GRINDEKS,lenalidomide grindeks,L04AX04,L04AX04
LENALIDOMIDE KRKA,lenalidomide krka,L04AX04,L04AX04
LENALIDOMIDE MYLAN,lenalidomide mylan,L04AX04,L04AX04
LENALIDOMIDE OLPHA,lenalidomide olpha,L04AX04,L04AX04
LENALIDOMIDE QILU,lenalidomide qilu,L04AX04,L04AX04
LENALIDOMIDE SANDOZ,lenalidomide sandoz,L04AX04,L04AX04
LENALIDOMIDE SUN,lenalidomide sun,L04AX04,L04AX04
LENALIDOMIDE TEVA,lenalidomide teva,L04AX04,L04AX04
LENALIDOMIDE ZENTIVA,lenalidomide zentiva,L04AX04,L04AX04
LENAXOLAN,lenaxolan,C02CA04,C02CA04
LENCYA,lencya,G03AD02,G03AD02
LENDORMIN,lendormin,N05CD09,N05CD09
LENIDENT ZETA,lenident zeta,A01AD11,A01AD11
LENIL ANTIMICOTICO,lenil antimicotico,D01AC01,D01AC01
LENIL ANTIPRURITO,lenil antiprurito,D04AA10,D04AA10
LENIRIT,lenirit,D07AA02,D07AA02
LENIRIT MICOSI,lenirit micosi,D01AC01,D01AC01
LENIRIT UNGUEALE,lenirit ungueale,D01AE16,D01AE16
LENIZAK,lenizak,N02AJ14,N02AJ14
LENOSPREAD,lenospread,M02AA07,M02AA07
LENOTAC,lenotac,M02AA07,M02AA07
LENTOKALIUM,lentokalium,A12BA01,A12BA01
LENVATINIB ACCORD,lenvatinib accord,L01EX08,L01EX08
LENVATINIB SANDOZ,lenvatinib sandoz,L01EX08,L01EX08
LENVATINIB TEVA,lenvatinib teva,L01EX08,L01EX08
LENVIMA,lenvima,L01EX08,L01EX08
LENZETTO,lenzetto,G03CA03,G03CA03
LEODIZCOL,leodizcol,M03BX01,M03BX01
LEPONEX,leponex,N05AH02,N05AH02
LEPTANDRA VIRGINICA,leptandra virginica,V03AX,V03AX
LEPTANDRA VIRGINICA DYNAMIS,leptandra virginica dynamis,V03AX,V03AX
LEPTOPROL,leptoprol,L02AE02,L02AE02
LEQEMBI,leqembi,N06DX04,N06DX04
LEQVIO,leqvio,C10AX16,C10AX16
LERCADIP,lercadip,C08CA13,C08CA13
LERCANIDIPINA ACCORD,lercanidipina accord,C08CA,C08CA
LERCANIDIPINA AUROBINDO,lercanidipina aurobindo,C08CA13,C08CA13
LERCANIDIPINA CLORIDRATO PENSA,lercanidipina cloridrato pensa,C08CA13,C08CA13
LERCANIDIPINA DOC GENERICI,lercanidipina doc generici,C08CA13,C08CA13
LERCANIDIPINA EG,lercanidipina eg,C08CA13,C08CA13
LERCANIDIPINA MYLAN ITALIA,lercanidipina mylan italia,C08CA13,C08CA13
LERCANIDIPINA OMNIAPHARM,lercanidipina omniapharm,C08CA13,C08CA13
LERCANIDIPINA RATIOPHARM ITALIA,lercanidipina ratiopharm italia,C08CA13,C08CA13
LERCANIDIPINA SANDOZ,lercanidipina sandoz,C08CA13,C08CA13
LERCANIDIPINA TECNIGEN,lercanidipina tecnigen,C08CA13,C08CA13
LERCANIDIPINA ZENTIVA,lercanidipina zentiva,C08CA13,C08CA13
LERCAPREL,lercaprel,C09BB02,C09BB02
LERNA,lerna,G03AA12,G03AA12
LESCOL,lescol,C10AA04,C10AA04
LESTRONETTE,lestronette,G03AA07,G03AA07
LETRIX,letrix,L02BG04,L02BG04
LETROZOLO ALMUS,letrozolo almus,L02BG04,L02BG04
LETROZOLO ALTER,letrozolo alter,L02BG04,L02BG04
LETROZOLO AUROBINDO ITALIA,letrozolo aurobindo italia,L02BG04,L02BG04
LETROZOLO DOC GENERICI,letrozolo doc generici,L02BG04,L02BG04
LETROZOLO EG,letrozolo eg,L02BG04,L02BG04
LETROZOLO MYLAN GENERICS,letrozolo mylan generics,L02BG04,L02BG04
LETROZOLO PENSA,letrozolo pensa,L02BG04,L02BG04
LETROZOLO PENSA PHARMA,letrozolo pensa pharma,L02BG04,L02BG04
LETROZOLO SANDOZ,letrozolo sandoz,L02BG04,L02BG04
LETROZOLO SUN,letrozolo sun,L02BG04,L02BG04
LETROZOLO TECNIGEN,letrozolo tecnigen,L02BG04,L02BG04
LETROZOLO TEVA,letrozolo teva,L02BG04,L02BG04
LETROZOLO ZENTIVA,letrozolo zentiva,L02BG04,L02BG04
LETROZOLOP-CARE,letrozolop-care,L02BG04,L02BG04
LETYBO,letybo,M03AX01,M03AX01
LEUKAST,leukast,R03DC03,R03DC03
LEUKERAN,leukeran,L01AA02,L01AA02
LEUSTATIN,leustatin,L01BB04,L01BB04
LEVAIR,levair,N05AL07,N05AL07
LEVEMIR,levemir,A10AE05,A10AE05
LEVETIRACETAM ACCORD,levetiracetam accord,N03AX14,N03AX14
LEVETIRACETAM ACCORD HEALTHCARE,levetiracetam accord healthcare,N03AX14,N03AX14
LEVETIRACETAM ACTAVIS,levetiracetam actavis,N03AX14,N03AX14
LEVETIRACETAM ACTAVIS GROUP,levetiracetam actavis group,N03AX14,N03AX14
LEVETIRACETAM ALMUS,levetiracetam almus,N03AX14,N03AX14
LEVETIRACETAM ALTER,levetiracetam alter,N03AX14,N03AX14
LEVETIRACETAM ARISTO PHARMA,levetiracetam aristo pharma,N03AX14,N03AX14
LEVETIRACETAM AUROBINDO,levetiracetam aurobindo,N03AX14,N03AX14
LEVETIRACETAM AUROBINDO ITALIA,levetiracetam aurobindo italia,N03AX14,N03AX14
LEVETIRACETAM AUROBINDO PHARMA ITALIA,levetiracetam aurobindo pharma italia,N03AX14,N03AX14
LEVETIRACETAM DOC,levetiracetam doc,N03AX14,N03AX14
LEVETIRACETAM DOC GENERICS,levetiracetam doc generics,N03AX14,N03AX14
LEVETIRACETAM DOCGEN,levetiracetam docgen,N03AX14,N03AX14
LEVETIRACETAM EG,levetiracetam eg,N03AX14,N03AX14
LEVETIRACETAM EG STADA,levetiracetam eg stada,N03AX14,N03AX14
LEVETIRACETAM EG STADA ITALIA,levetiracetam eg stada italia,N03AX14,N03AX14
LEVETIRACETAM EIGNAPHARMA,levetiracetam eignapharma,N03AX14,N03AX14
LEVETIRACETAM HIKMA,levetiracetam hikma,N03AX14,N03AX14
LEVETIRACETAM HOSPIRA,levetiracetam hospira,N03AX14,N03AX14
LEVETIRACETAM KRKA,levetiracetam krka,N03AX14,N03AX14
LEVETIRACETAM MYLAN,levetiracetam mylan,N03AX14,N03AX14
LEVETIRACETAM MYLAN GENERICS,levetiracetam mylan generics,N03AX14,N03AX14
LEVETIRACETAM NORIDEM,levetiracetam noridem,N03AX14,N03AX14
LEVETIRACETAM PENSA,levetiracetam pensa,N03AX14,N03AX14
LEVETIRACETAM RATIOPHARM,levetiracetam ratiopharm,N03AX14,N03AX14
LEVETIRACETAM SANDOZ,levetiracetam sandoz,N03AX14,N03AX14
LEVETIRACETAM SUN,levetiracetam sun,N03AX14,N03AX14
LEVETIRACETAM TECNIGEN,levetiracetam tecnigen,N03AX14,N03AX14
LEVETIRACETAM TEVA,levetiracetam teva,N03AX14,N03AX14
LEVETIRACETAM TEVA ITALIA,levetiracetam teva italia,N03AX14,N03AX14
LEVETIRACETAM TILLOMED,levetiracetam tillomed,N03AX14,N03AX14
LEVETIRACETAM ZENTIVA,levetiracetam zentiva,N03AX14,N03AX14
LEVIADEX,leviadex,M01AE17,M01AE17
LEVIFEN,levifen,M01AE01,M01AE01
LEVIOFLEX,levioflex,M02AA15,M02AA15
LEVIOGEL,leviogel,M02AA15,M02AA15
LEVIOSA,leviosa,S01CA01,S01CA01
LEVIOXAP,levioxap,N01AX63,N01AX63
LEVITRA,levitra,G04BE09,G04BE09
LEVOBAT,levobat,J01MA12,J01MA12
LEVOBREN,levobren,N05AL07,N05AL07
LEVOBUPIVACAINA ALTAN,levobupivacaina altan,N01BB10,N01BB10
LEVOBUPIVACAINA BIOINDUSTRIA L.I.M.,levobupivacaina bioindustria l.i.m.,N01BB10,N01BB10
LEVOBUPIVACAINA KABI,levobupivacaina kabi,N01BB10,N01BB10
LEVOBUPIVACAINA MOLTENI,levobupivacaina molteni,N01BB10,N01BB10
LEVOCETIRIZINA AUROBINDO,levocetirizina aurobindo,R06AE09,R06AE09
LEVOCETIRIZINA DOC GENERICI,levocetirizina doc generici,R06AE09,R06AE09
LEVOCETIRIZINA EG,levocetirizina eg,R06AE09,R06AE09
LEVOCETIRIZINA KRKA,levocetirizina krka,R06AE09,R06AE09
LEVOCETIRIZINA MYLAN,levocetirizina mylan,R06AE09,R06AE09
LEVOCETIRIZINA PENSA,levocetirizina pensa,R06AE09,R06AE09
LEVOCETIRIZINA SANDOZ,levocetirizina sandoz,R06AE09,R06AE09
LEVOCETIRIZINA TEVA,levocetirizina teva,R06AE09,R06AE09
LEVODOPA CARBIDOPA HEXAL,levodopa carbidopa hexal,N04BA02,N04BA02
LEVODOPA E CARBIDOPA DOC,levodopa e carbidopa doc,N04BA02,N04BA02
LEVODOPA/CARBIDOPA/ENTACAPONE MYLAN,levodopa/carbidopa/entacapone mylan,N04BA03,N04BA03
LEVODOPA/CARBIDOPA/ENTACAPONE ORION,levodopa/carbidopa/entacapone orion,N04BA03,N04BA03
LEVODOPA/CARBIDOPA/ENTACAPONE TEVA,levodopa/carbidopa/entacapone teva,N04BA03,N04BA03
LEVODROP,levodrop,S01AE05,S01AE05
LEVODROPROPIZINA EPIFARMA,levodropropizina epifarma,R05DB27,R05DB27
LEVODROPROPIZINA FG,levodropropizina fg,R05DB27,R05DB27
LEVOFLOXACINA ABC,levofloxacina abc,J01MA12,J01MA12
LEVOFLOXACINA ACCORD,levofloxacina accord,J01MA12,J01MA12
LEVOFLOXACINA ALMUS,levofloxacina almus,J01MA12,J01MA12
LEVOFLOXACINA ALTER,levofloxacina alter,J01MA12,J01MA12
LEVOFLOXACINA AUROBINDO,levofloxacina aurobindo,J01MA12,J01MA12
LEVOFLOXACINA AUROBINDO ITALIA,levofloxacina aurobindo italia,J01MA12,J01MA12
LEVOFLOXACINA BIOINDUSTRIA L.I.M.,levofloxacina bioindustria l.i.m.,J01MA12,J01MA12
LEVOFLOXACINA DOC,levofloxacina doc,J01MA12,J01MA12
LEVOFLOXACINA EG,levofloxacina eg,J01MA12,J01MA12
LEVOFLOXACINA GALENICA SENESE,levofloxacina galenica senese,J01MA12,J01MA12
LEVOFLOXACINA KABI,levofloxacina kabi,J01MA12,J01MA12
LEVOFLOXACINA KRKA,levofloxacina krka,J01MA12,J01MA12
LEVOFLOXACINA MYLAN GENERICS ITALIA,levofloxacina mylan generics italia,J01MA12,J01MA12
LEVOFLOXACINA NORIDEM,levofloxacina noridem,J01MA12,J01MA12
LEVOFLOXACINA PENSA PHARMA,levofloxacina pensa pharma,J01MA12,J01MA12
LEVOFLOXACINA SANDOZ,levofloxacina sandoz,J01MA12,J01MA12
LEVOFLOXACINA TECNIGEN ITALIA,levofloxacina tecnigen italia,J01MA12,J01MA12
LEVOFLOXACINA TEVA,levofloxacina teva,J01MA12,J01MA12
LEVOFLOXACINA ZENTIVA,levofloxacina zentiva,J01MA12,J01MA12
LEVOFOLENE,levofolene,V03AF04,V03AF04
LEVOGENIX,levogenix,A02BC03,A02BC03
LEVONIS,levonis,R03BA03,R03BA03
LEVOPRAID,levopraid,N05AL07,N05AL07
LEVOREACT,levoreact,R01AC02,R01AC02
LEVOREACT OFTALMICO,levoreact oftalmico,S01GX02,S01GX02
LEVOSIMENDAN ACCORD,levosimendan accord,C01CX08,C01CX08
LEVOSIMENDAN ALTAN,levosimendan altan,C01CX08,C01CX08
LEVOSIMENDAN EG,levosimendan eg,C01CX08,C01CX08
LEVOSIMENDAN IBI,levosimendan ibi,C01CX08,C01CX08
LEVOSIMENDAN KALCEKS,levosimendan kalceks,C01CX08,C01CX08
LEVOSIMENDAN REIG JOFRE,levosimendan reig jofre,C01CX08,C01CX08
LEVOSIMENDAN TILLOMED,levosimendan tillomed,C01CX08,C01CX08
LEVOSIMENDAN WAYMADE,levosimendan waymade,C01CX08,C01CX08
LEVOSULPIRIDE EG,levosulpiride eg,N05AL07,N05AL07
LEVOSULPIRIDE FERRER,levosulpiride ferrer,N05AL07,N05AL07
LEVOTIROXINA ABDI,levotiroxina abdi,H03AA01,H03AA01
LEVOTIROXINA DOC,levotiroxina doc,H03AA01,H03AA01
LEVOTIRSOL,levotirsol,H03AA01,H03AA01
LEVOTONAL,levotonal,V03AF04,V03AF04
LEVOTUSS,levotuss,R05DB27,R05DB27
LEVOTUSS TOSSE,levotuss tosse,R05DB27,R05DB27
LEVOVANOX,levovanox,J01XA01|A07AA09,
LEVOVENT,levovent,R03AC13,R03AC13
LEVOXIGRAM,levoxigram,J01MA12,J01MA12
LEXIL,lexil,A03CA34,A03CA34
LEXOTAN,lexotan,N05BA08,N05BA08
LIAFLOX,liaflox,S01AE01,S01AE01
LIBEDOL,libedol,M02AA15,M02AA15
LIBMELDY,libmeldy,A16AB21,A16AB21
LIBRADIN,libradin,C08CA12,C08CA12
LIBRIUM,librium,N05BA02,N05BA02
LIBTAYO,libtayo,L01FF06,L01FF06
LIDOCAINA AGUETTANT,lidocaina aguettant,N01BB02,N01BB02
LIDOCAINA CLORIDRATO BIOINDUSTRIA L.I.M.,lidocaina cloridrato bioindustria l.i.m.,N01BB02,N01BB02
LIDOCAINA CLORIDRATO E IDROCORTISONE ACETATO MARCO VITI,lidocaina cloridrato e idrocortisone acetato marco viti,D07XA01,D07XA01
LIDOCAINA CLORIDRATO E IDROCORTISONE ACETATO ZETA,lidocaina cloridrato e idrocortisone acetato zeta,D07XA01,D07XA01
LIDOCAINA CLORIDRATO FISIOPHARMA,lidocaina cloridrato fisiopharma,N01BB02,N01BB02
LIDOCAINA CLORIDRATO GALENICA SENESE,lidocaina cloridrato galenica senese,N01BB02,N01BB02
LIDOCAINA CLORIDRATO INTES,lidocaina cloridrato intes,S01HA07,S01HA07
LIDOCAINA CLORIDRATO MONICO,lidocaina cloridrato monico,N01BB02,N01BB02
LIDOCAINA CLORIDRATO OGNA,lidocaina cloridrato ogna,D04AB01,D04AB01
LIDOCAINA CLORIDRATO S.A.L.F.,lidocaina cloridrato s.a.l.f.,N01BB02,N01BB02
LIDOCAINA E ADRENALINA AGUETTANT,lidocaina e adrenalina aguettant,N01BB52,N01BB52
LIDOCAINA E PRILOCAINA TEVA,lidocaina e prilocaina teva,N01BB52,N01BB52
LIDOCAINA GRINDEKS,lidocaina grindeks,N01BB02,N01BB02
LIDOCAINA KABI,lidocaina kabi,N01BB02,N01BB02
LIDOCAINA NORIDEM,lidocaina noridem,N01BB02,N01BB02
LIDOCAINA OGNA,lidocaina ogna,A01AD11,A01AD11
LIDODEPOMEDROL,lidodepomedrol,H02BX01,H02BX01
LIDOFAST,lidofast,N01BB02,N01BB02
LIDOPROCTENE,lidoproctene,D07XA01,D07XA01
LIDOSEN,lidosen,N01BB02,N01BB02
LIFEROL,liferol,R03AC13,R03AC13
LIFODUO,lifoduo,S01ED51,S01ED51
LIFOG,lifog,S01EE01,S01EE01
LIGOSAN,ligosan,A01AB22,A01AB22
LIKACIN,likacin,J01GB06|D06AX12,
LILADROS,liladros,G03AA12,G03AA12
LILIUM TIGRINUM,lilium tigrinum,V03AX,V03AX
LILIUM TIGRINUM DYNAMIS,lilium tigrinum dynamis,V03AX,V03AX
LIMBITRYL,limbitryl,N06CA01,N06CA01
LIMERIK,limerik,J01CR05,J01CR05
LIMICAN,limican,A03FA05,A03FA05
LIMNOS,limnos,A02BC01,A02BC01
LIMPIDEX,limpidex,A02BC03,A02BC03
LINAGLIPTIN ABDI,linagliptin abdi,A10BH05,A10BH05
LINAGLIPTIN AUROBINDO,linagliptin aurobindo,A10BH05,A10BH05
LINAGLIPTIN E METFORMINA SANDOZ,linagliptin e metformina sandoz,A10BD11,A10BD11
LINAGLIPTIN EG,linagliptin eg,A10BH05,A10BH05
LINAGLIPTIN INTAS,linagliptin intas,A10BH05,A10BH05
LINAGLIPTIN KRKA,linagliptin krka,A10BH05,A10BH05
LINAGLIPTIN MACLEODS,linagliptin macleods,A10BH05,A10BH05
LINAGLIPTIN MYLAN,linagliptin mylan,A10BH05,A10BH05
LINAGLIPTIN PENSA,linagliptin pensa,A10BH05,A10BH05
LINAGLIPTIN SANDOZ,linagliptin sandoz,A10BH05,A10BH05
LINAGLIPTIN VIVANTA,linagliptin vivanta,A10BH05,A10BH05
LINAGLIPTIN ZENTIVA,linagliptin zentiva,A10BH05,A10BH05
LINCOCIN,lincocin,J01FF02,J01FF02
LINDA'S ECHINACEA 34,linda's echinacea 34,V03AX,V03AX
LINDONE,lindone,N03AX16,N03AX16
LINEZOLID AUROBINDO,linezolid aurobindo,J01XX08,J01XX08
LINEZOLID AUROBINDO ITALIA,linezolid aurobindo italia,J01XX08,J01XX08
LINEZOLID DEMO,linezolid demo,J01XX08,J01XX08
LINEZOLID HIKMA,linezolid hikma,J01XX08,J01XX08
LINEZOLID KABI,linezolid kabi,J01XX08,J01XX08
LINEZOLID KRKA,linezolid krka,J01XX08,J01XX08
LINEZOLID KRKA D.D.,linezolid krka d.d.,J01XX08,J01XX08
LINEZOLID S.A.L.F.,linezolid s.a.l.f.,J01XX08,J01XX08
LINEZOLID TEVA,linezolid teva,J01XX08,J01XX08
LIOMETACEN,liometacen,M01AB01,M01AB01
LIORESAL,lioresal,M03BX01,M03BX01
LIOTIR,liotir,H03AA02,H03AA02
LIOTIXIL,liotixil,J01DD02,J01DD02
LIOTONTRAUMA,liotontrauma,M02AC,M02AC
LIPAXAN,lipaxan,C10AA04,C10AA04
LIPAZETOR,lipazetor,C10BA05,C10BA05
LIPENIL,lipenil,C10AA01,C10AA01
LIPERIAL,liperial,C10AB05,C10AB05
LIPIDEM,lipidem,B05BA02,B05BA02
LIPIDOVER,lipidover,C10AA07,C10AA07
LIPOFENE,lipofene,C10AB05,C10AB05
LIPOFLEX,lipoflex,B05BA10,B05BA10
LIPOFUNDIN MCT,lipofundin mct,B05BA02,B05BA02
LIPONORM,liponorm,C10AA01,C10AA01
