ddinter_id_1,ddinter_id_2,source,severity,description
DDInter10,DDInter1263,DDInter,Unknown,DDInter unknown interaction between Acamprosate and Naltrexone.
DDInter10,DDInter1340,DDInter,Unknown,DDInter unknown interaction between Omeprazole and Acamprosate.
DDInter10,DDInter1388,DDInter,Unknown,DDInter unknown interaction between Pantoprazole and Acamprosate.
DDInter10,DDInter1515,DDInter,Unknown,DDInter unknown interaction between Prednisone and Acamprosate.
DDInter10,DDInter1568,DDInter,Unknown,DDInter unknown interaction between Acamprosate and Ranitidine.
DDInter10,DDInter1675,DDInter,Unknown,DDInter unknown interaction between Simvastatin and Acamprosate.
DDInter10,DDInter1951,DDInter,Unknown,DDInter unknown interaction between Acamprosate and Warfarin.
DDInter10,DDInter246,DDInter,Unknown,DDInter unknown interaction between Acamprosate and Budesonide.
DDInter10,DDInter252,DDInter,Unknown,DDInter unknown interaction between Acamprosate and Bupropion.
DDInter10,DDInter593,DDInter,Unknown,DDInter unknown interaction between Acamprosate and Doxepin.
DDInter10,DDInter598,DDInter,Unknown,DDInter unknown interaction between Doxycycline and Acamprosate.
DDInter10,DDInter900,DDInter,Unknown,DDInter unknown interaction between Acamprosate and Ibuprofen.
DDInter100,DDInter1001,DDInter,Moderate,DDInter moderate interaction between Ixabepilone and Anthrax vaccine.
DDInter100,DDInter1002,DDInter,Moderate,DDInter moderate interaction between Ixazomib and Anthrax vaccine.
DDInter100,DDInter1003,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Ixekizumab.
DDInter100,DDInter103,DDInter,Moderate,DDInter moderate interaction between Antilymphocyte immunoglobulin (horse) and Anthrax vaccine.
DDInter100,DDInter1033,DDInter,Moderate,DDInter moderate interaction between Leflunomide and Anthrax vaccine.
DDInter100,DDInter1035,DDInter,Moderate,DDInter moderate interaction between Lenalidomide and Anthrax vaccine.
DDInter100,DDInter1044,DDInter,Moderate,DDInter moderate interaction between Levamisole and Anthrax vaccine.
DDInter100,DDInter106,DDInter,Moderate,DDInter moderate interaction between Antithymocyte immunoglobulin (rabbit) and Anthrax vaccine.
DDInter100,DDInter1086,DDInter,Moderate,DDInter moderate interaction between Lomustine and Anthrax vaccine.
DDInter100,DDInter1133,DDInter,Moderate,DDInter moderate interaction between Mechlorethamine and Anthrax vaccine.
DDInter100,DDInter1144,DDInter,Moderate,DDInter moderate interaction between Melphalan and Anthrax vaccine.
DDInter100,DDInter1156,DDInter,Moderate,DDInter moderate interaction between Mercaptopurine and Anthrax vaccine.
DDInter100,DDInter1174,DDInter,Moderate,DDInter moderate interaction between Methotrexate and Anthrax vaccine.
DDInter100,DDInter1191,DDInter,Moderate,DDInter moderate interaction between Methylprednisolone and Anthrax vaccine.
DDInter100,DDInter1214,DDInter,Moderate,DDInter moderate interaction between Midostaurin and Anthrax vaccine.
DDInter100,DDInter1232,DDInter,Moderate,DDInter moderate interaction between Mitomycin and Anthrax vaccine.
DDInter100,DDInter1234,DDInter,Moderate,DDInter moderate interaction between Mitoxantrone and Anthrax vaccine.
DDInter100,DDInter1238,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Mogamulizumab.
DDInter100,DDInter1250,DDInter,Moderate,DDInter moderate interaction between Muromonab and Anthrax vaccine.
DDInter100,DDInter1252,DDInter,Moderate,DDInter moderate interaction between Mycophenolic acid and Anthrax vaccine.
DDInter100,DDInter1268,DDInter,Moderate,DDInter moderate interaction between Natalizumab and Anthrax vaccine.
DDInter100,DDInter127,DDInter,Moderate,DDInter moderate interaction between Asparaginase Escherichia coli and Anthrax vaccine.
DDInter100,DDInter1275,DDInter,Moderate,DDInter moderate interaction between Nelarabine and Anthrax vaccine.
DDInter100,DDInter1293,DDInter,Moderate,DDInter moderate interaction between Nilotinib and Anthrax vaccine.
DDInter100,DDInter1297,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Niraparib.
DDInter100,DDInter131,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Atezolizumab.
DDInter100,DDInter1320,DDInter,Moderate,DDInter moderate interaction between Obinutuzumab and Anthrax vaccine.
DDInter100,DDInter1321,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Ocrelizumab.
DDInter100,DDInter1324,DDInter,Moderate,DDInter moderate interaction between Ofatumumab and Anthrax vaccine.
DDInter100,DDInter1327,DDInter,Moderate,DDInter moderate interaction between Olaparib and Anthrax vaccine.
DDInter100,DDInter1328,DDInter,Moderate,DDInter moderate interaction between Olaratumab and Anthrax vaccine.
DDInter100,DDInter1335,DDInter,Moderate,DDInter moderate interaction between Omacetaxine mepesuccinate and Anthrax vaccine.
DDInter100,DDInter1352,DDInter,Moderate,DDInter moderate interaction between Osimertinib and Anthrax vaccine.
DDInter100,DDInter1355,DDInter,Moderate,DDInter moderate interaction between Oxaliplatin and Anthrax vaccine.
DDInter100,DDInter1376,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Ozanimod.
DDInter100,DDInter1377,DDInter,Moderate,DDInter moderate interaction between Paclitaxel and Anthrax vaccine.
DDInter100,DDInter1378,DDInter,Moderate,DDInter moderate interaction between Paclitaxel (protein-bound) and Anthrax vaccine.
DDInter100,DDInter1379,DDInter,Moderate,DDInter moderate interaction between Palbociclib and Anthrax vaccine.
DDInter100,DDInter1387,DDInter,Moderate,DDInter moderate interaction between Panobinostat and Anthrax vaccine.
DDInter100,DDInter1400,DDInter,Moderate,DDInter moderate interaction between Pazopanib and Anthrax vaccine.
DDInter100,DDInter1404,DDInter,Moderate,DDInter moderate interaction between Pegaspargase and Anthrax vaccine.
