ingredient,atc4,rxcui,how
Ipratropio Bromuro,R03BB,7213,salt
Ipratropio Bromuro (Monoidrato),R01AX,7213,salt
Iptacopan,L04AJ,2671061,raw
Irbesartan,C09CA,83818,raw
Irinotecan,L01CE,51499,raw
Irinotecan Cloridrato Triidrato,L01CE,51499,salt
Isatuximab,L01FC,2282018,raw
Iris Versicolor,V03AX,,unresolved
Isoconazolo Nitrato,G01AF,27901,salt
Isavuconazolo,J02AC,1720882,raw
Isoflurane,N01AB,6026,raw
Isoflurano,N01AB,6026,raw
Isoniazide,J04AC,6038,raw
Isoprenalina Cloridrato,C01CA,6054,salt
Isosorbide Mononitrato,C01DA,28004,raw
Isosorbide Dinitrato,C01DA,6058,raw
Isotretinoina,D10BA,6064,raw
Isradipina,C08CA,33910,raw
Istamina Dicloridrato,L03AX,5333,raw
Itopride Cloridrato,A03FA,,unresolved
Itraconazolo,J02AC,28031,raw
Ivabradina,C01EB,1649480,raw
Ittrio (90Y) Citrato,V10AA,,unresolved
Ivabradina Cloridrato,C01EB,1649480,salt
Ivabradina Ossalato,C01EB,1649480,raw
Ivermectina,P02CF,6069,raw
Ivacaftor,R07AX,1243041,raw
Ivosidenib,L01XM,2049873,raw
Ixekizumab,L04AC,1745099,raw
Ixazomib,L01XG,1723735,raw
Jaborandi,V03AX,,unresolved
Juglans Regia,V03AX,,unresolved
Kalium Bichromicum,V03AX,,unresolved
Kalium Bromatum,V03AX,,unresolved
Kalium Carbonicum,V03AX,,unresolved
Kalium Iodatum,V03AX,,unresolved
Kalium Muriaticum,V03AX,,unresolved
Kalium Nitricum,V03AX,,unresolved
Kalium Phosphoricum,V03AX,,unresolved
Kalnacitrato,G04BC,,unresolved
Kalium Sulfuricum,V03AX,,unresolved
Kalmia Latifolia,V03AX,,unresolved
Ketamina Cloridrato,N01AX,6130,salt
Ketazolam,N05BA,28181,raw
Ketoprofene,M01AE,6142,raw
Ketoconazolo,D01AC,6135,raw
Ketoprofene Sale Di Lisina,M01AE,6142,salt
Ketorolac Trometamina,M01AB,28200,raw
Ketorolac Trometamolo,M01AB,35827,raw
Ketotifene,S01GX,6146,raw
Ketotifene Fumarato Acido,S01GX,6146,salt
Kreosotum,V03AX,,unresolved
L-Carnitina Sale Interno,A16AA,42955,raw
L-Cistina,D11AX,,unresolved
L-Lisina,B05BA,,unresolved
Lachesis,V03AX,,unresolved
Labetalolo Cloridrato,C07AG,6185,salt
L-Arginina Cloridrato,V03AB,,unresolved
Lachnanthes Tinctoria,V03AX,,unresolved
Lacidipina,C08CA,28382,raw
Lacidipine,C08CA,28382,raw
Lactobacillus Plantarum,G01AX,,unresolved
Lacosamide,N03AX,623400,raw
Lamium Album,V03AX,,unresolved
Lamivudina,J05AF,68244,raw
Lamotrigina,N03AX,28439,raw
Lanadelumab,B06AC,2055641,raw
Landiololo Cloridrato,C07AB,2712070,salt
Lanreotide,H01CB,68092,raw
Lansoprazolo,A02BC,17128,raw
Lantanio Carbonato Idrato,V03AE,,unresolved
Lapatinib,L01EH,480167,raw
Laronidasi,A16AB,392509,raw
Lasmiditan,N02CC,2256930,raw
Larotrectinib Solfato,L01EX,2105628,salt
Lattulosio,A06AD,,unresolved
Latanoprost,S01EE,43611,raw
Lattitolo,A06AD,28395,raw
Laurocerasus,V03AX,,unresolved
Lazertinib,L01EB,2691150,raw
Lavanda Essenza,N05BX,,unresolved
Lebrikizumab,D11AH,2693758,raw
Lecanemab,N06DX,2626143,raw
Ledum Palustre,V03AX,,unresolved
Lefamulin,J01XX,2198944,raw
Leflunomide,L04AK,27169,raw
Lenacapavir,J05AX,2625651,raw
Legamenti Articolazione Ginocchio,V03AX,,unresolved
Lenvatinib,L01EX,1603296,raw
Lenalidomide,L04AX,342369,raw
Lenvatinib Mesilato,L01EX,1603296,salt
Leptandra Virginica,V03AX,,unresolved
Lercanidipina Cloridrato,C08CA,135056,salt
Lercanidipina,C08CA,135056,raw
Letrozolo,L02BG,72965,raw
Letermovir,J05AX,1988648,raw
Leucina,B05BA,,unresolved
Levoacetilcarnitina,N06BX,,unresolved
Levacetilleucina,N07XX,2375522,raw
Leuprorelina,L02AE,42375,raw
Leuprorelina Acetato,L02AE,42375,salt
Levetiracetam,N03AX,114477,raw
Levobunololo Cloridrato,S01ED,1813,salt
Levobupivacaina Cloridrato,N01BB,259453,salt
Levocabastina Cloridrato,S01GX,28627,salt
Levocarnitina,A16AA,42955,raw
Levocarnitine,A16AA,42955,raw
Levocetirizina Dicloridrato,R06AE,356887,raw
Levocloperastina Fendizoato,R05DB,,unresolved
Levocetirizine,R06AE,356887,raw
Levodropropizina,R05DB,52014,raw
Levodopa,N04BA,6375,raw
Levofloxacina,J01MA,82122,raw
Levofloxacin,S01AE,82122,raw
Levofloxacina Emiidrato,J01MA,82122,raw
Levomepromazina,N05AA,6852,raw
Levopropionilcarnitina,A16AA,,unresolved
Levosulpiride,N05AL,,unresolved
Levometadone Cloridrato,N07BC,236913,salt
Levonorgestrel,G03AD,6373,raw
Levosimendan,C01CX,73107,raw
Levothyroxine Sodium,H03AA,40144,raw
Levotiroxina Sodica,H03AA,10582,salt
Lidocaina,N01BB,6387,raw
Lidocaina Cloridrato,N01BB,6387,salt
Lidocaine,N01BB,6387,raw
Lidocaina Cloridrato Monoidrato,N01BB,6387,salt
Lilium Tigrinum,V03AX,,unresolved
Linaclotide,A06AX,1307404,raw
Linagliptin,A10BH,1100699,raw
Lincomicina,J01FF,6398,raw
Linezolid,J01XX,190376,raw
Lievito Di Birra,C05AX,,unresolved
Linzagolix Colina,H01CC,2621019,raw
Linvoseltamab,L01FX,2719416,raw
Liotironina Sodica,H03AA,10814,salt
Lipegfilgrastim,L03AA,1440046,raw
Liraglutide,A10BJ,475968,raw
Lisato Batterico Polivalente,J07AX,,unresolved
Lisdexamfetamine,N06BA,700810,raw
Lisina Acetilsalicilato,B01AC,1191,raw
Litio,N05AN,,unresolved
Lisinopril,C09AA,29046,raw
Lisinopril Diidrato,C09AA,29046,raw
Lisozima Cloridrato,A09AA,,unresolved
Litio Carbonato,N05AN,,unresolved
Lobelia Inflata,V03AX,,unresolved
Lonafarnib,A16AX,2467553,raw
Lomitapide,C10AX,1364479,raw
Lonapegsomatropin,H01AC,2569562,raw
Loncastuximab Tesirine,L01FX,2540964,raw
Lonoctogoc Alfa,B02BD,1796377,raw
Loperamide,A07DA,6468,raw
Loperamide Cloridrato,A07DA,6468,salt
Loratadina,R06AX,28889,raw
Lorazepam,N05BA,6470,raw
Lorlatinib,L01ED,2103164,raw
Lormetazepam,N05CD,28894,raw
Losartan,C09CA,52175,raw
Losartan Potassico,C09CA,52175,salt
Loteprendololo Etabonato,S01BA,,unresolved
Lovastatina,C10AA,6472,raw
Loxapina,N05AH,6475,raw
Luesinum,V03AX,,unresolved
Lumasiran,A16AX,2467140,raw
Lurasidone,N05AE,1040028,raw
Lurasidone Cloridrato,N05AE,1040028,salt
Luspatercept,B03XA,2262544,raw
Lutezio (177Lu) Oxodotreotide,V10XX,1999335,raw
Lutezio (177Lu) Vipivotide Tetraxetan,V10XX,2597053,raw
Lutropina Alfa,G03GA,388084,raw
Lycopus Virginicus,V03AX,,unresolved
Lycopodium Clavatum,V03AX,,unresolved
Macimorelina,V04CD,1999420,raw
Macitentan,C02KX,1442132,raw
Macrogol 3350,A06AD,,unresolved
Macrogol,A06AD,8516,raw
Magaldrato,A02AD,29151,raw
Macrogol 4000,A06AD,,unresolved
Magnesia Carbonica,V03AX,,unresolved
Magnesia Muriatica,V03AX,,unresolved
Magnesia Phosphorica,V03AX,,unresolved
Magnesia Sulfurica,V03AX,,unresolved
Magnesio Idrossido,A02AA,,unresolved
Magnesio Pidolato,A12CC,,unresolved
Magnesium Metallicum,V03AX,,unresolved
Mandragora Officinarum,V03AX,,unresolved
Manganum Metallicum,V03AX,,unresolved
Mannitolo,B05BC,6628,raw
Manidipina Cloridrato,C08CA,29275,salt
Magnesio Solfato Eptaidrato,B05XA,,unresolved
Maprotilina Cloridrato,N06AA,6646,salt
Maralixibat Cloruro,A05AX,2571074,raw
Maribavir,J05AX,2586068,raw
Maraviroc,J05AX,620216,raw
Marstacimab,B02BX,2697133,raw
Mavacamten,C01EB,2600867,raw
Mebendazolo,P02CA,6672,raw
Mebeverina Cloridrato,A03AA,29410,salt
Mecasermina,H01AC,274403,raw
Medorrhinum,V03AX,,unresolved
Meclociclina Solfosalicilato,D06AA,,unresolved
Medrossiprogesterone Acetato,G03DA,6691,salt
Meflochina Cloridrato,P01BC,,unresolved
Melatonina,N05CH,6711,raw
Melfalan Flufenamide,L01AA,2531369,raw
Melfalan Cloridrato,L01AA,6718,salt
Megestrolo Acetato,L02AB,6703,salt
Melfalan,L01AA,6718,raw
Melilotus Alba,V03AX,,unresolved
Meloxicam,M01AC,41493,raw
Melphalan,L01AA,6718,raw
Memantina Cloridrato,N06DX,6719,salt
Mentha Piperitae Aetheroleum,A03AX,33094,raw
Menotropina,G03GA,,unresolved
Menta Essenza,A03AX,,unresolved
Mepartricina,G04CX,,unresolved
Mentolo,D04AX,,unresolved
Mepivacaina Cloridrato,N01BB,6759,salt
Mepolizumab,R03DX,1720597,raw
Mercaptamina,A16AA,3022,raw
Mercaptamina Bitartrato,A16AA,3022,raw
Mercaptobenzotiazolo,V04CL,,unresolved
Mercurius Corrosivus,V03AX,,unresolved
Mercaptopurina,L01BB,103,raw
Mercurius Cyanatus,V03AX,,unresolved
Mercurius Dulcis,V03AX,,unresolved
Mercurius Solubilis,V03AX,,unresolved
Meropenem,J01DH,29561,raw
Mertiatide,V09CA,,unresolved
Mesna,V03AF,44,raw
Meropenem Triidrato,J01DH,29561,salt
Mesalazina,A07EC,52582,raw
Metacolina Cloruro,V04CX,,unresolved
Metadoxina,N07BB,,unresolved
Mesoglicano Sodico,B01AB,,unresolved
Metadone Cloridrato,N07BC,6813,salt
Metaraminolo Bitartrato,C01CA,6806,raw
Metamizolo Sodico,N02BB,3523,salt
Metergolina,G02CB,6834,raw
Metformina,A10BA,6809,raw
Metformina Cloridrato,A10BA,6809,salt
Methylprednisolone,H02AB,6902,raw
Metildopa,C02AB,6876,raw
Metile Salicilato,M02AC,,unresolved
Metilergometrina Maleato,G02AB,6883,salt
Metilfenidato,N06BA,6901,raw
Metilfenidato Cloridrato,N06BA,6901,salt
Metil Aminolevulinato Cloridrato,L01XD,,unresolved
Metilnaltrexone,A06AH,29899,raw
Metilprednisolone,H02AB,6902,raw
Metilprednisolone Aceponato,D07AC,62136,raw
Metilprednisolone Acetato,H02AB,6902,salt
Metilprednisolone Emisuccinato Sodico,H02AB,6902,salt
Metilprednisolone Idrogeno Succinato Sodico,H02AB,6902,salt
Metilprednisolone Sodio Succinato,H02AB,6902,salt
Metiltioninio Cloruro,V03AB,6878,raw
Metirapone,V04CD,6923,raw
Metoclopramide,A03FA,6915,raw
Metoclopramide Cloridrato,A03FA,6915,salt
Metolazone,C03BA,6916,raw
Metoprololo,C07AB,6918,raw
Metoprololo Tartrato,C07AB,6918,salt
Metossipolietilenglicole-Epoetina Beta (Cera),B03XA,,unresolved
Metoxalene,L03AX,,unresolved
Metotrexato,L04AX,6851,raw
Metotrexato Sodico,L01BA,6851,salt
Metoxsalene,L03AX,,unresolved
Metreleptina,A16AA,1491625,raw
Mezereum,V03AX,,unresolved
Mexiletina Cloridrato,C01BB,6926,salt
Metronidazolo,J01XD,6922,raw
Mianserina Cloridrato,N06AX,6929,salt
Micafungina,J02AX,325887,raw
Micafungina Sodica,J02AX,325887,salt
Micofenolato Mofetile,L04AA,,unresolved
Miconazolo,A01AB,6932,raw
Miconazolo Nitrato,D01AC,6932,salt
Micofenolato Sodico,L04AA,,unresolved
Midazolam,N05CD,6960,raw
Midazolam Cloridrato,N05CD,6960,salt
Midodrina Cloridrato,C01CA,6963,salt
Midazolam Maleato,N05CD,6960,salt
Mifamurtide,L03AX,,unresolved
Midostaurina,L01EX,1919083,raw
Mifepristone,G03XB,6964,raw
Migalastat,A16AX,2054252,raw
Miglustat,A16AX,402316,raw
Minociclina Dicloridrato,J01AA,6980,raw
Minoxidil,D11AX,6984,raw
Mirabegron,G04BD,1300786,raw
Mirtillina,C05CA,,unresolved
Mirdametinib,L01EE,2705551,raw
Mirikizumab,L04AC,2668384,raw
Mirtazapina,N06AX,15996,raw
Mirvetuximab Soravtansine,L01FX,2621548,raw
Misoprostolo,G02AD,42331,raw
Mitapivat,B06AX,2594468,raw
Mitomicina,L01DC,632,raw
Mitotano,L01XX,7004,raw
Mitoxantrone Cloridrato,L01DB,7005,salt
Mivacurio Cloruro,M03AC,30077,raw
Mizolastina,R06AX,61455,raw
Modafinil,N06BA,30125,raw
Mogamulizumab,L01FX,2054068,raw
Momelotinib,L01EJ,2665204,raw
Mometasone,R01AD,108118,raw
Mometasone Furoato,R01AD,108118,salt
Mometasone Furoato Monoidrato,R01AD,108118,salt
Momordica Balsamina,V03AX,,unresolved
Montelukast,R03DC,88249,raw
Montelukast Sodico,R03DC,88249,salt
Morfina Cloridrato,N02AA,7052,salt
Monossido Di Azoto,R07AX,,unresolved
Morfina Solfato,N02AA,7052,salt
Morniflumato,M01AX,30225,raw
Moroctocog Alfa,B02BD,1300485,raw
Mosunetuzumab,L01FX,2625122,raw
Moxifloxacina,J01MA,139462,raw
Moxifloxacina Cloridrato,J01MA,139462,salt
Moxonidina,C02AC,30257,raw
Mrna Che Codifica Per Kp.2,J07BN,2691218,raw
Mrna Che Codifica Per Lp.8.1,J07BN,2722594,raw
Mupirocina,D06AX,42372,raw
Mucosa Gastrica,V03AX,,unresolved
Mupirocina Calcica,D06AX,42372,raw
Mrna A Singola Elica Con Capping In 5? Che Codifica La Glicoproteina F Del Virus Respiratorio Sinciziale Stabilizzata Nella Conformazione Di Pre-Fusione,J07BX,,unresolved
Mycoplasma,V03AX,,unresolved
N-Acetil-L-Cisteina,R05CB,,unresolved
Nabumetone,M01AX,31448,raw
N.D.,V03AX,,unresolved
Nadifloxacina,D10AF,,unresolved
Nadololo,C07AA,7226,raw
Nadroparina Calcica,B01AB,67031,raw
Nafazolina,R01AA,7247,raw
Nafazolina Cloridrato,R01AA,7247,salt
N-Butilscopolamina Bromuro,A03BB,,unresolved
Nafazolina Nitrato,R01AA,7247,salt
Naftifina Cloridrato,D01AE,31476,salt
Naldemedina,A06AH,1876597,raw
Nalmefene,N07BB,31479,raw
Naloxone (Td),V03AB,7242,raw
Naloxegol,A06AH,1551777,raw
Naloxone Cloridrato,V03AB,7242,salt
Naloxone Cloridrato Diidrato,V03AB,7242,salt
Naltrexone Cloridrato,N07BB,7243,salt
Naphthalinum,V03AX,,unresolved
Naproxene,M01AE,7258,raw
Naproxene Sodico,M01AE,7258,salt
Natalizumab,L04AG,354770,raw
Naprossene Sodico,M01AE,,unresolved
Natrium Carbonicum,V03AX,,unresolved
Natrium Muriaticum,V03AX,,unresolved
Natrium Phosphoricum,V03AX,,unresolved
Natrium Silicicum,V03AX,,unresolved
Nebivololo,C07AB,31555,raw
Natrium Sulfuricum,V03AX,,unresolved
Nebivololo Cloridrato,C07AB,31555,salt
Nelarabina,L01BB,274771,raw
Nemolizumab,D11AH,2691310,raw
Nepafenac,S01BC,298665,raw
Neratinib,L01EH,1940643,raw
Netarsudil,S01EX,1992864,raw
Netilmicina,S01AA,7337,raw
Netilmicina Solfato,S01AA,7337,salt
Nevirapina,J05AG,53654,raw
Niaouli Essenza,R01AX,,unresolved
Nicardipina Cloridrato,C08CA,7396,salt
Niccolum Metallicum,V03AX,,unresolved
Niclosamide,P02DA,7402,raw
Nicotina,N07BA,7407,raw
Nichel Solfato Esaidrato,V04CL,,unresolved
Nicotina Resinato,N07BA,7407,raw
Nicotinamide,A11HA,7405,raw
Nifedipina,C08CA,7417,raw
Nifuratel,G01AX,7419,raw
Nilotinib,L01EA,662281,raw
Nilotinib Dicloridrato Diidrato,L01EA,662281,raw
Nimesulide,M01AX,53694,raw
Nimesulide Betaciclodestrina,M01AX,53694,raw
Nimodipina,C08CA,7426,raw
Nintedanib,L01EX,1592737,raw
Nintedanib Esilato,L01EX,1592737,raw
Nipocalimab,L04AL,2712693,raw
Niraparib,L01XK,1918231,raw
Nirsevimab,J06BD,2642401,raw
Nistatina,A07AA,7597,raw
Nitisinone,A16AX,61805,raw
Nitrazepam,N05CD,7440,raw
Nitrendipina,C08CA,7441,raw
Nitrofurantoina,J01XE,7454,raw
Nitrofurantoina Macrocristalli,J01XE,7454,raw
Nitroglicerina,C01DA,4917,raw
Nitrous Oxide,R07AX,,unresolved
Nivolumab,L01FF,1597876,raw
Nogapendekin Alfa Inbakicept,L03AC,2682678,raw
Nomegestrolo Acetato,G03DB,31930,salt
Nonacog Alfa (Fattore Ix Di Coagulazione. Ricombinante),B02BD,1300488,salt
Nonacog Beta Pegilato,B02BD,1990855,raw
Noradrenalina Tartrato,C01CA,2256931,salt
Nordazepam,N05BA,3155,raw
Norepinefrina,C01CA,7512,raw
Noretisterone Acetato,G03DC,7514,salt
Norfloxacina,J01MA,7517,raw
Nortriptilina,N06AA,7531,raw
Nortriptilina Cloridrato,N06AA,7531,salt
Nuphar Luteum,V03AX,,unresolved
Nusinersen,M09AX,1863556,raw
Nux Moschata,V03AX,,unresolved
Nux Vomica,V03AX,,unresolved
Obinutuzumab,L01FA,974779,raw
Occhio Totale,V03AX,,unresolved
Ocrelizumab,L04AG,1876366,raw
Octocog Alfa,B02BD,1300486,raw
Octofluoropropano,V08DA,,unresolved
Octreotide,H01CB,7617,raw
Odronextamab,L01FX,,unresolved
Octreotide Acetato,H01CB,7617,salt
Odevixibat,A05AX,2563966,raw
Ofatumumab,L04AG,712566,raw
Ofloxacin,S01AE,7623,raw
Ofloxacina,S01AE,7623,raw
Olanzapina,N05AH,61381,raw
Olaparib,L01XK,1597582,raw
Olanzapina Pamoato Monoidrato,N05AH,61381,salt
Olezarsen,C10AX,,unresolved
Olio Etiodato,V08AD,,unresolved
Olodaterolo,R03AC,1546059,raw
Olmesartan Medoxomil,C09DA,,unresolved
Olipudase Alfa,A16AB,2610407,raw
Olopatadina,S01GX,135391,raw
Olopatadina Cloridrato,S01GX,135391,salt
Omalizumab,R03DX,302379,raw
Omega 3 Polinsaturi,C10AX,,unresolved
Omega-3-Triglycerides Incl. Other Esters And Acids,C10AX,,unresolved
Omeprazolo,A02BC,7646,raw
Omeprazolo Sodico,A02BC,7646,salt
Omodimero Di Fusione Dell?Rbd Della Proteina Ricombinante Del Virus Sars-Cov-2 (Ceppo Lp.8.1- Lp.8.1),J07BN,2722424,salt
Onasemnogene Abeparvovec,M09AX,2170226,raw
Omega Polienoici (Esteri Etilici Di Acidi Grassi Polinsaturi),C10AX,,unresolved
Ondansetron Cloridrato Diidrato,A04AA,26225,salt
Ondansetron,A04AA,26225,raw
Ondansetrone,A04AA,26225,raw
Ondansetrone Cloridrato,A04AA,26225,salt
Opicapone,N04BX,2362167,raw
Orfenadrina Cloridrato,N04AB,7715,salt
Origanum Vulgare,V03AX,,unresolved
Oritavancina,J01XA,1547611,raw
Orlistat,A08AB,37925,raw
Ornithogallum Umbellatum,V03AX,,unresolved
Oseltamivir,J05AH,260101,raw
Oseltamivir Fosfato,J05AH,260101,salt
Osimertinib,L01EB,1721560,raw
Osilodrostat,H02CA,2286252,raw
Ossibenzone,V04CL,,unresolved
Ospemifene,G03XC,1370971,raw
Osmium Metallicum,V03AX,,unresolved
Ossi-Idrossido Sucroferrico,V03AE,1484283,raw
Ossibutinina Cloridrato,G04BD,,unresolved
Ossitocina,H01BB,,unresolved
Ossicodone Cloridrato,N02AA,,unresolved
Ossigeno,V03AN,,unresolved
Otilonio Bromuro,A03AB,32311,salt
Oxacillina,J01CF,7773,raw
Oxacillina Sodica,J01CF,7773,salt
Oxaliplatino,L01XA,32592,raw
Ossido Di Zinco,D02AB,,unresolved
Oxatomide,R06AE,54236,raw
Oxazepam,N05BA,7781,raw
Oxcarbazepina,N03AF,32624,raw
Oxibuprocaina Cloridrato,S01HA,18889,salt
Oxerutina,C05CA,,unresolved
Oxibutinina Cloridrato,G04BD,32675,salt
Oxicodone Cloridrato,N02AA,219740,salt
Oximetazolina Cloridrato,R01AA,7812,salt
Oxitocina,H01BB,7824,raw
Ozanimod Cloridrato,L04AE,2288236,salt
Oxolamina Citrato,R05DB,32658,salt
Oxitriptano,N06AX,94,raw
Ozenoxacina,D06AX,1994739,raw
Padeliporfina,L01XD,,unresolved
Paclitaxel,L01CD,56946,raw
Paeonia Officinalis,V03AX,,unresolved
Palbociclib,L01EF,1601374,raw
Paliperidone,N05AX,679314,raw
Palivizumab,J06BD,194279,raw
Paliperidone Palmitato,N05AX,858045,raw
Palladium Metallicum,V03AX,,unresolved
Palonosetron (Td),A04AA,70561,raw
Palopegteriparatide,H05AA,2693635,raw
Palonosetron Cloridrato,A04AA,70561,salt
Pamidronato Disodico,M05BA,,unresolved
Pancrelipasi,A09AA,743,raw
Panitumumab,L01FE,263034,raw
Panobinostat,L01XH,1603350,raw
Pantetina,A11HA,32863,raw
Pantoprazolo,A02BC,40790,raw
Pantoprazolo Sodico Sesquidrato,A02BC,236632,salt
Papaver Somniferum L. Tintura,A07DA,7676,raw
Papaverina Cloridrato,A03AD,7895,salt
Parabeni Mix,V04CL,,unresolved
Paracalcitolo,H05BX,73710,raw
Paracetamol,N02BE,161,raw
Paracetamolo,N02BE,161,raw
Paraffina Liquida,A06AA,6972,raw
Parecoxib Sodico,M01AH,279950,salt
Paris Quadrifolia,V03AX,,unresolved
Pareira Brava,V03AX,,unresolved
Parnaparina,B01AB,69528,raw
Paromomicina,A07AA,7934,raw
Paromomicina Solfato,A07AA,7934,salt
Paroxetina,N06AB,32937,raw
Paroxetina Cloridrato,N06AB,32937,salt
Paroxetina Cloridrato Emiidrato,N06AB,32937,salt
Paroxetina Mesilato,N06AB,32937,salt
Pasireotide,H01CB,1364105,raw
Passiflora Parti Aeree (Passiflora Incarnata L.) Estratto Secco,N05CM,,unresolved
Patiromer,V03AE,,unresolved
Patisiran,N07XX,2053490,raw
Pazopanib,L01EX,714438,raw
Pazopanib Cloridrato,L01EX,714438,salt
Pegaspargase,L01XX,34132,raw
Pegcetacoplan,L04AJ,2557372,raw
Patiromer Calcio Sorbitolo,V03AE,,unresolved
Pegfilgrastim,L03AA,338036,raw
Peginterferone Beta-1,L03AB,75917,raw
Pegunigalsidase Alfa,A16AB,2637446,raw
Pegvaliase,A16AB,2046360,raw
Pegvisomant,H01AX,278739,raw
Pegzilarginasi,A16AB,2738648,raw
Pembrolizumab,L01FF,1547545,raw
Pemetrexed,L01BA,68446,raw
Pemetrexed Disodico,L01BA,282443,raw
Pemetrexed Disodico Emipentaidrato,L01BA,2056898,raw
Pemigatinib,L01EN,2359268,raw
Penicillina G Potassica,J01CE,203133,raw
Pentamidina Isetionato,P01CX,7994,raw
Penciclovir,D06BB,59839,raw
Pentetreotide,V09IB,,unresolved
Pentosano Polisolfato Sodico,G04BX,155046,salt
Pentossifillina,C04AD,,unresolved
Pentossiverina,R05DB,,unresolved
Pentostatina,L01XX,8011,raw
Pentoxifillina,C04AD,8013,raw
Perampanel,N03AX,1356552,raw
Perflutreno,V08DA,,unresolved
Perfenazina,N05AB,8076,raw
Periciazina,N05AC,8766,raw
Perindopril,C09AA,54552,raw
Perindopril Erbumina,C09AA,72260,raw
Perindopril Arginina,C09AA,1600711,raw
Perindopril Tosilato,C09AA,54552,raw
Perindopril Tert-Butilamina,C09AA,72260,raw
Permetrina,P03AC,33199,raw
Pertuzumab,L01FD,1298944,raw
Petidina Cloridrato,N02AB,6754,salt
Petroleum,V03AX,,unresolved
Petroselinum Sativum,V03AX,,unresolved
Phellandrium Aquaticum,V03AX,,unresolved
Perossido Di Idrogeno,D08AX,,unresolved
Physostigma Venenosum,V03AX,,unresolved
Phosphorus,V03AX,,unresolved
Phytolacca Decandra,V03AX,,unresolved
Picotamide,B01AC,,unresolved
Pidotimod,L03AX,40450,raw
Piflufolastat (18F),V09IX,2556616,raw
Pilocarpina Nitrato,S01EB,8328,salt
Pilocarpina Cloridrato,N07AX,8328,salt
Pimecrolimus,D11AH,321952,raw
Pimozide,N05AG,8331,raw
Pinaverio Bromuro,A03AX,33724,salt
Pinazepam,N05BA,3322,raw
Pindololo,C07AA,8332,raw
Pioglitazone,A10BG,33738,raw
Pipetanato Etobromuro,A03AA,,unresolved
Piperacillina Sodica,J01CA,8339,salt
Piracetam,N06BX,8351,raw
Pirfenidone,L04AX,1592254,raw
Piridostigmina Bromuro,N07AA,9000,salt
Piridossina Cloridrato,A11HA,,unresolved
Piroxicam,M02AA,8356,raw
Pirtobrutinib,L01EL,2629338,raw
Piroxicam Betaciclodestrina,M01AC,8356,raw
Pitavastatina Calcica,C10AA,861634,raw
Pitolisant,N07XX,2197878,raw
Pivmecillina Cloridrato,J01CA,627,salt
Pixantrone,L01DB,7005,raw
Placenta,V03AX,,unresolved
Platina,V03AX,,unresolved
Plantago Major,V03AX,,unresolved
Plurifloxacina,J01MA,,unresolved
Podofillotossina,D06BB,,unresolved
Plerixafor,L03AX,733003,raw
Plumbum Metallicum,V03AX,,unresolved
Polideribotide,V03AX,,unresolved
Polatuzumab Vedotin,L01FX,2174090,raw
Podophyllum Peltatum,V03AX,,unresolved
Polidocanolo,C05BB,968170,raw
Poliesanide,S01AX,1373041,raw
Poligelina,B05AA,,unresolved
Ponatinib,L01EA,1364347,raw
Pomalidomide,L04AX,1369713,raw
Ponesimod,L04AE,2532300,raw
Posaconazolo,J02AC,282446,raw
Populus Tremula,V03AX,,unresolved
Polvere Sgrassata Di Semi Di Arachis Hypogaea L. (Arachidi),V01AA,,unresolved
Potassio Aspartato,B05XA,,unresolved
Potassio Canrenoato,C03DA,1981,raw
Potassio Lattato,B05XA,,unresolved
Potassio Cloruro,B05XA,1901,raw
Pralidoxima Metilsolfato,V03AB,34345,raw
Potassio Acetato,B05XA,54987,raw
Pramipexolo,N04BC,746741,raw
Pramipexolo Dicloridrato Monoidrato,N04BC,746741,salt
Prasterone,G03XX,3143,raw
Prasugrel,B01AC,613391,raw
Pravastatina,C10AA,42463,raw
Pravastatina Sodica,C10AA,42463,salt
Prazepam,N05BA,8627,raw
Prednisolone,H02AB,8638,raw
Prednisone,H02AB,8640,raw
Pregabalin,N02BF,187832,raw
Pretomanid,J04AK,2198359,raw
Pridinolo Mesilato,M03BX,34479,salt
Prilocaina Cloridrato,N01BB,8686,salt
Proantocianidine,G04BX,,unresolved
Primidone,N03AA,8691,raw
Procarbazina,L01XB,8702,raw
Proclorperazina,A04AD,,unresolved
Proclorperazina Dimaleato,A04AD,,unresolved
Promelasi,B06AA,,unresolved
Procaina Cloridrato,A01AD,,unresolved
Progesterone,G03DA,8727,raw
Promazina,N05AA,8742,raw
Promazina Cloridrato,N05AA,8742,salt
Promestriene,G03CA,34625,raw
Prometazina,D04AA,8745,raw
Prometazina Cloridrato,R06AD,8745,salt
Propafenone Cloridrato,C01BC,8754,salt
Propiverina Cloridrato,G04BD,55175,salt
Propiverine,G04BD,55175,raw
Propofol,N01AX,8782,raw
Propranololo,C07AA,8787,raw
Propranololo Cloridrato,C07AA,8787,salt
Prostata,V03AX,,unresolved
Protamina Cloridrato,V03AB,8826,salt
Protamina Solfato,V03AB,8826,salt
Proteina C Umana,B01AD,8834,raw
Proteina Idrolisata,B05BA,,unresolved
Proteine Plasmatiche Umane,B05AA,,unresolved
Prucalopride,A06AX,2107310,raw
Psorinum,V03AX,,unresolved
Protossido Di Azoto,N01AX,,unresolved
Pulsatilla Pratensis,V03AX,,unresolved
Proteina Spike Ricombinante Di Sars-Cov-2 (Omicron Jn.1) Con Adiuvante Matrix-M,J07BX,,unresolved
