ingredient,atc4,rxcui,how
Calcitonina Di Salmone,H05BA,36118,salt
Calcitriolo,A11CC,1894,raw
Calcium (Different Salts In Combination),V03AX,,unresolved
Calcium Phosphoricum,V03AX,,unresolved
Calendula Officinalis,V03AX,,unresolved
Camomilla Essenza,V03AX,,unresolved
Canagliflozin,A10BK,1373458,raw
Canakinumab,L04AC,853491,raw
Canfora,M02AX,,unresolved
Candesartan,C09CA,214354,raw
Candesartan Cilexetil,C09CA,135481,raw
Candida Albicans,V03AX,,unresolved
Cangrelor Tetrasodio,B01AC,1656051,raw
Cannabidiolo (Via Sintetica),N03AX,2045371,raw
Capecitabina,L01BC,194000,raw
Capivasertib,L01EX,2669967,raw
Caplacizumab,B01AX,2110605,raw
Capmatinib,L01EX,2362165,raw
Capsicum Annuum,V03AX,,unresolved
Carbetocina,H01BB,,unresolved
Capsaicina,M02AB,1992,raw
Captopril,C09AA,1998,raw
Carbamazepina,N03AF,2002,raw
Carbo Vegetabilis,V03AX,,unresolved
Carbocisteina,R05CB,2023,raw
Carbocisteina Sale Di Lisina,R05CB,2023,salt
Carbomer,S01XA,,unresolved
Carbossimaltosio Ferrico,B03AC,,unresolved
Carboplatino,L01XA,40048,raw
Cardiospermum Halicacabum,V03AX,,unresolved
Carduus Marianus,V03AX,,unresolved
Carfilzomib,L01XG,1302966,raw
Carglumic Acid,A16AA,401713,raw
Cariprazina Cloridrato,N05AX,1667655,salt
Carmustina,L01AD,2105,raw
Carnitina,V03AX,,unresolved
Carteololo,S01ED,2116,raw
Carteololo Cloridrato,S01ED,2116,salt
Carmellosa Sodica,S01XA,,unresolved
Cartilagine,V03AX,,unresolved
Carvedilolo,C07AG,20352,raw
Caspofungin,J02AX,140108,raw
Caspofungin Acetato,J02AX,140108,salt
Catalasi,D03BA,,unresolved
Caulophyllum Thalictroides,V03AX,,unresolved
Catridecacog,B02BD,1488293,raw
Causticum Hahnemanni,V03AX,,unresolved
Ceanothus Americanus,V03AX,,unresolved
Cefacloro,J01DC,2176,raw
Cefacloro Monoidrato,J01DC,2176,salt
Cefazolina Acida,J01DB,2180,raw
Cefalexina,J01DB,2231,raw
Cefazolina Sodica,J01DB,2180,salt
Cefepime,J01DE,20481,raw
Cefditoren Pivoxil,J01DD,72611,raw
Cefepime Cloridrato,J01DE,20481,salt
Cefepime Dicloridrato Monoidrato,J01DE,20481,salt
Cefiderocol,J01DI,2265702,raw
Cefixima,J01DD,25033,raw
Cefixime Triidrato,J01DD,25033,salt
Cefotaxima,J01DD,2186,raw
Cefotaxima Sodica,J01DD,2186,salt
Cefoxitina Sodica,J01DC,2189,salt
Cefpodoxima,J01DD,20489,raw
Cefpodoxime Proxetil,J01DD,47835,raw
Cefprozil,J01DC,19552,raw
Ceftarolina,J01DI,,unresolved
Ceftarolina Fosamil Sterile,J01DI,1040004,raw
Ceftazidima,J01DD,2191,raw
Ceftazidima Pentaidrato,J01DD,2191,salt
Ceftibuten,J01DD,20492,raw
Ceftriaxone,J01DD,2193,raw
Ceftriaxone Sodico,J01DD,2193,salt
Ceftriaxone Disodico,J01DD,2193,raw
Ceftazidima Pentaidrato Con Sodio Carbonato Sterile,J01DD,,unresolved
Cefuroxima,J01DC,2194,raw
Ceftobiprolo Medocaril Sodico,J01DI,,unresolved
Cefuroxima Sodica,J01DC,2194,salt
Celecoxib,M01AH,140587,raw
Celiprololo Cloridrato,C07AB,20498,salt
Cellule Autologhe Cd34+ Codificanti Per Il Gene Arsa,A16AB,,unresolved
Cellule Cd3 + Autologhe Trasdotte Anti-Cd19,L01XL,,unresolved
Cellule Epiteliali Corneali Umane Autologhe Espanse Ex Vivo E Contenenti Cellule Staminali,S01XA,,unresolved
Cemiplimab,L01FF,2058826,raw
Centasina,C05CX,,unresolved
Cenegermin,S01XA,2104332,raw
Cenobamato,N03AX,2265690,raw
Cervello,V03AX,,unresolved
Ceritinib,L01ED,1535457,raw
Cerliponase Alfa,A16AB,1922436,raw
Certolizumab Pegol,L04AB,709271,raw
Cetilpiridinio Cloruro,D08AJ,,unresolved
Cetirizina,R06AE,20610,raw
Cetirizina Dicloridrato,R06AE,20610,raw
Cetrorelix,H01CC,68147,raw
Cetuximab,L01FE,318341,raw
Chamomilla,V03AX,,unresolved
Chelidonium Majus,V03AX,,unresolved
Chimaphila Umbellata,V03AX,,unresolved
China,V03AX,,unresolved
Chinina Bicloridrato,P01BC,9071,raw
Chinina Cloridrato,P01BC,9071,salt
Chinina Solfato,P01BC,9071,salt
Cholesterinum,V03AX,,unresolved
Chininum Arsenicosum,V03AX,,unresolved
Chininum Sulfuricum,V03AX,,unresolved
Cianocobalamina,B03BA,11248,raw
Ciclesonide,R03BA,274964,raw
Ciclofosfamide,L01AA,3002,raw
Ciclobenzaprina Cloridrato,M03BX,21949,salt
Ciclofosfamide Monoidrata,L01AA,3002,raw
Ciclopentolato Cloridrato,S01FA,3001,salt
Ciclopirox,D01AE,21090,raw
Ciclopirox Sale Di Olamina,G01AX,52172,salt
Ciclosporina,L04AD,3008,raw
Cicuta Virosa,V03AX,,unresolved
Cidofovir,J05AB,83171,raw
Cilazapril,C09AA,21102,raw
Cilazapril Monoidrato,C09AA,21102,salt
Cilostazolo,B01AC,21107,raw
Ciclosilicato Di Sodio E Zirconio,V03AE,,unresolved
Ciltacabtagene Autoleucel,L01XL,2594775,raw
Cimicifuga Estratto Secco,G02CX,236665,raw
Cinacalcet,H05BX,407990,raw
Cina,V03AX,,unresolved
Cinnabaris,V03AX,,unresolved
Cinacalcet Cloridrato,H05BX,407990,salt
Cineraria Maritima,V03AX,,unresolved
Cinnamomum Zeylanicum,V03AX,,unresolved
Cinnarizina,N07CA,2549,raw
Cipaglucosidasi Alfa,A16AB,2667433,raw
Cincocaina Cloridrato,V04CL,,unresolved
Ciproeptadina Cloridrato,R06AX,3013,salt
Ciprofloxacina,J01MA,2551,raw
Ciprofloxacina Cloridrato Monoidrato,J01MA,2551,salt
Ciprofloxacina Lattato,J01MA,2551,raw
Cisatracurio Besilato,M03AC,319864,salt
Ciprofloxacina Cloridrato,J01MA,2551,salt
Ciproterone Acetato,G03HA,3014,salt
Cisplatino,L01XA,2555,raw
Cisteamina Cloridrato,S01XA,3022,salt
Citalopram,N06AB,2556,raw
Citalopram Bromidrato,N06AB,2556,raw
Citalopram Cloridrato,N06AB,2556,salt
Citarabina,L01BC,3041,raw
Citicolina,N06BX,997602,raw
Citicolina Sodica,N06BX,997602,salt
Citisina,N07BA,1723152,raw
Citrullus Colocynthis,V03AX,,unresolved
Cladribina,L04AA,44157,raw
Claritromicina,J01FA,21212,raw
Claritromicina Lattobionato,J01FA,21212,raw
Clascoterone,D10AX,2474340,raw
Citrato Trisodico Biidrato,V07AC,,unresolved
Clematis Recta,V03AX,,unresolved
Clebopride Malato Acido,A03FA,236701,raw
Clenbuterolo Cloridrato,R03CC,2580,salt
Clevidipina,C08CA,233603,raw
Clindamicina,J01FF,2582,raw
Clindamicina Cloridrato,J01FF,2582,salt
Clindamicina Fosfato,J01FF,2582,salt
Clobazam,N05BA,21241,raw
Clobetasol,S01BA,2590,raw
Clobetasolo Propionato,D07AD,21245,raw
Clofarabina,L01BB,44151,raw
Clobetasone Butirrato,S01BA,108074,raw
Clofoctolo,J01XX,21264,raw
Clomifene Citrato,G03GB,2596,salt
Clomipramina Cloridrato,N06AA,2597,salt
Clonidina,C02AC,2599,raw
Clonazepam,N03AE,2598,raw
Clonidina Cloridrato,C02AC,2599,salt
Cloperastina Cloridrato,R05DB,2104180,salt
Cloperastina Fendizoato,R05DB,2104180,raw
Clopidogrel,B01AC,32968,raw
Cloramfenicolo,S01AA,,unresolved
Clopidogrel Besilato,B01AC,32968,salt
Clopidogrel Cloridrato,B01AC,32968,salt
Clopidogrel Idrogeno Solfato,B01AC,32968,salt
Clorambucile,L01AA,2346,raw
Cloramina,D08AX,,unresolved
Cloramfenicolo Succinato Sodico,J01BA,,unresolved
Clordiazepossido Cloridrato,N05BA,2356,salt
Clorazepato Dipotassico,N05BA,2607,raw
Clorexidina Digluconato,A01AB,2358,raw
Clorexidina Gluconato,A01AB,20791,raw
