preferred_label,entity_type,source,aliases,AIC,ATC,RXCUI,DDINTER
ABIRATERONE SANDOZ,DRUG,AIFA anagrafica farmaci,ABIRATERONE SANDOZ,048401057|048401069|048401119|048401121|048401133|048401160|048401172|048401184|048401196|048401208|048401210|048401222|048401234|048401261|048401273|048401285|048401297|048401309|048401311|048401323|048401335|048401347,L02BX03,,
ABIRATERONE SANDOZ GMBH,DRUG,AIFA anagrafica farmaci,ABIRATERONE SANDOZ GMBH,048749016|048749028|048749030|048749042|048749055|048749067|048749079|048749081|048749093|048749105|048749117|048749129|048749131,L02BX03,,
ABIRATERONE SUN,DRUG,AIFA anagrafica farmaci,ABIRATERONE SUN,050293012|050293024|050293036,L02BX03,,
ABIRATERONE TECNIGEN,DRUG,AIFA anagrafica farmaci,ABIRATERONE TECNIGEN,051317016|051317028,L02BX03,,
ABIRATERONE ZENTIVA,DRUG,AIFA anagrafica farmaci,ABIRATERONE ZENTIVA,049755010|049755022|049755034|049755046|049755059,L02BX03,,
ABIS,DRUG,AIFA anagrafica farmaci,ABIS,038038016|038038028,C08CA01,,
ABRAXANE,DRUG,AIFA anagrafica farmaci,ABRAXANE,039399011|039399023,L01CD01,,
ABRIFF,DRUG,AIFA anagrafica farmaci,ABRIFF,042292021|042292033,R03AK11,,
ABROCITINIB,DRUG,AIFA anagrafica farmaci,ABROCITINIB,049826011|049826023|049826035|049826047|049826050|049826062|049826074|049826086|049826098|049826100|049826112|049826124|049826136|049826148|049826151,D11AH08,,
ABROSYX N,DRUG,AIFA anagrafica farmaci,ABROSYX N,047231016|047231028,V03AX,,
ABROTANUM,DRUG,AIFA anagrafica farmaci,ABROTANUM,046639011|046639023|046639035|046639047|046639050|046639062|046639074|046639086|046639098|046639100|046639112|046639124|046639136|046639148|046639151|046639163|046639175|046639187|046639199|046639201|046639213|046639225|046639237|046639249|046639252|046639264|046639276|046639288|046639290|046639302|046639314|046639326|046639338|046639340|046639353|046639365|046639377|046639389|046639391|046639403|046639415|046639427|046639439|046639441|046639454|046639466|046639478|046639480|046639492|046639504|046639516|046639528|046639530|046639542|046639555|046639567|046639579|046639581,V03AX,,
ABRYSVO,DRUG,AIFA anagrafica farmaci,ABRYSVO,050831015|050831027|050831039|050831041|050831054|050831066|050831078|050831080,J07BX05,,
ABSEAMED,DRUG,AIFA anagrafica farmaci,ABSEAMED,038494011|038494023|038494035|038494047|038494050|038494062|038494074|038494086|038494098|038494100|038494112|038494124|038494136|038494148|038494151|038494163|038494530|038494542|038494555,B03XA01,,
ABSORCOL,DRUG,AIFA anagrafica farmaci,ABSORCOL,036018012|036018024|036018036|036018048|036018051|036018063|036018075|036018087|036018099|036018101|036018113|036018125|036018137|036018149|036018152|036018164|036018176|036018188|036018190|036018202|036018214|036018226|036018238|036018240|036018253|036018265,C10AX09,,
ABSTRAL,DRUG,AIFA anagrafica farmaci,ABSTRAL,038736031|038736043|038736056|038736068|038736070|038736082|038736094|038736106|038736118|038736120|038736132|038736144,N02AB03,,
ABUTRAX,DRUG,AIFA anagrafica farmaci,ABUTRAX,051191017,L01CD01,,
ACADIMOX,DRUG,AIFA anagrafica farmaci,ACADIMOX,037856010|037856022,J01CR02,,
ACALABRUTINIB,DRUG,AIFA anagrafica farmaci,ACALABRUTINIB,049155017|049155029|049155031|049155043,L01EL02,,
ACAMBA,DRUG,AIFA anagrafica farmaci,ACAMBA,042869014|042869026,S01EE04,,
ACAMPROSATO,DRUG,AIFA anagrafica farmaci,ACAMPROSATO,034208013,N07BB03,,
ACARBOSIO,DRUG,AIFA anagrafica farmaci,ACARBOSIO,026851016|026851028|038835017|038835029|038835031|038835043|038835056|038835068|038835070|038835082|038835094|038835106|038835118|038835120|038835132|038835144|038835157|038835169|038835171|038835183|038835195|038835207|039716016|039716028|039716030|039716042|039716055|039716067|039716079|039716081|039716093|039716105|039716117|039716129|039716131|039716143|039716156|039716168|039716170|039716182|044155012|044155024|045430016|047612015|047612027|047612039|047612041|047612054|047612066|047612078|047612080|047612092,A10BF01,,
ACARBOSIO AUROBINDO,DRUG,AIFA anagrafica farmaci,ACARBOSIO AUROBINDO,047612015|047612027|047612039|047612041|047612054|047612066|047612078|047612080|047612092,A10BF01,,
ACARBOSIO DOC GENERICI,DRUG,AIFA anagrafica farmaci,ACARBOSIO DOC GENERICI,044155012|044155024,A10BF01,,
ACARBOSIO TECNIGEN,DRUG,AIFA anagrafica farmaci,ACARBOSIO TECNIGEN,039716016|039716028|039716030|039716042|039716055|039716067|039716079|039716081|039716093|039716105|039716117|039716129|039716131|039716143|039716156|039716168|039716170|039716182,A10BF01,,
ACARDEN,DRUG,AIFA anagrafica farmaci,ACARDEN,035987027|035987039|035987041|035987054|035987066|035987078|035987080,C07AG02,,
ACARPHAGE,DRUG,AIFA anagrafica farmaci,ACARPHAGE,038835017|038835029|038835031|038835043|038835056|038835068|038835070|038835082|038835094|038835106|038835118|038835120|038835132|038835144|038835157|038835169|038835171|038835183|038835195|038835207,A10BF01,,
ACC,DRUG,AIFA anagrafica farmaci,ACC,039455011|039455023|039455035,R05CB01,,
ACC FLUIDIFICANTE E ANTIDOTO,DRUG,AIFA anagrafica farmaci,ACC FLUIDIFICANTE E ANTIDOTO,032819031|032819043|032819068|032819070,R05CB01,,
ACCARIZAX,DRUG,AIFA anagrafica farmaci,ACCARIZAX,043755014|043755026|043755038,V01AA03,,
ACCFLUBUST,DRUG,AIFA anagrafica farmaci,ACCFLUBUST,043199013|043199025|043199037|043199049|043199052|043199064,R05CB01,,
ACCFLUEFF,DRUG,AIFA anagrafica farmaci,ACCFLUEFF,043351016|043351028|043351030|043351042|043351055|043351067|043351079|043351081|043351093|043351105|043351117|043351129|043351131|043351143|043351156|043351168|043351170|043351182|043351194|043351206,R05CB01,,
ACCOFIL,DRUG,AIFA anagrafica farmaci,ACCOFIL,043615018|043615020|043615032|043615044|043615057|043615069|043615071|043615083|043615095|043615107|043615119|043615121|043615133|043615145|043615158|043615160|043615172|043615184|043615196|043615208|043615210|043615222|043615234|043615246|043615259|043615261|043615273|043615285|043615297|043615309|043615311|043615323|043615335|043615347|043615350|043615362,L03AA02,,
ACCUSOL CON POTASSIO,DRUG,AIFA anagrafica farmaci,ACCUSOL CON POTASSIO,037201035|037201047,B05ZB,,
ACEBUTOLOLO,DRUG,AIFA anagrafica farmaci,ACEBUTOLOLO,024155057,C07AB04,,
